#   BLOCK:  TEMPERATURE:
           0        1.54
           0     1.53986
           0     1.53943
           0     1.53871
           0     1.53771
           0     1.53642
           0     1.53485
           0     1.53299
           0     1.53085
           0     1.52844
           0     1.52574
           0     1.52276
           0     1.51951
           0     1.51598
           0     1.51217
           0      1.5081
           0     1.50375
           0     1.49912
           0     1.49423
           0     1.48907
           0     1.48364
           0     1.47794
           0     1.47198
           0     1.46575
           0     1.45926
           0     1.45251
           0     1.44549
           0     1.43821
           0     1.43067
           0     1.42288
           0     1.41482
           0     1.40652
           0     1.39796
           0     1.38915
           0     1.38009
           0     1.37078
           0     1.36123
           0     1.35144
           0     1.34141
           0     1.33114
           0     1.32064
           0     1.30991
           0     1.29896
           0     1.28778
           0     1.27639
           0     1.26479
           0     1.25298
           0     1.24097
           0     1.22876
           0     1.21636
           0     1.20377
           0     1.19101
           0     1.17807
           0     1.16496
           0      1.1517
           0     1.13828
           0     1.12472
           0     1.11103
           0      1.0972
           0     1.08326
           0     1.06921
           0     1.05506
           0     1.04081
           0     1.02649
           0     1.01209
           0    0.997637
           0    0.983131
           0    0.968587
           0    0.954017
           0    0.939432
           0    0.924843
           0    0.910264
           0    0.895706
           0    0.881182
           0    0.866704
           0    0.852285
           0    0.837938
           0    0.823675
           0    0.809509
           0    0.795453
           0     0.78152
           0    0.767723
           0    0.754075
           0    0.740587
           0    0.727272
           0    0.714144
           0    0.701213
           0    0.688491
           0     0.67599
           0    0.663722
           0    0.651694
           0    0.639919
           0    0.628405
           0    0.617162
           0    0.606199
           0    0.595523
           0    0.585143
           0    0.575066
           0    0.565298
           0    0.555847
           0    0.546717
           0    0.537914
           0    0.529441
           0    0.521303
           0    0.513503
           0    0.506043
           0    0.498926
           0    0.492152
           0    0.485722
           0    0.479637
           0    0.473897
           0    0.468499
           0    0.463443
           0    0.458728
           0    0.454351
           0    0.450308
           0    0.446596
           0    0.443212
           0     0.44015
           0    0.437407
           0    0.434976
           0    0.432854
           0    0.431033
           0    0.429509
           0    0.428273
           0    0.427319
           0     0.42664
           0     0.42623
           0    0.426079
           0    0.426181
           0    0.426526
           0    0.427109
           0    0.427919
           0    0.428949
           0    0.430191
           0    0.431636
           0    0.433275
           0    0.435099
           0      0.4371
           0     0.43927
           0    0.441599
           0    0.444079
           0    0.446702
           0    0.449459
           0    0.452341
           0     0.45534
           0    0.458447
           0    0.461655
           0    0.464955
           0    0.468338
           0    0.471799
           0    0.475328
           0    0.478918
           0    0.482562
           0    0.486253
           0    0.489983
           0    0.493747
           0    0.497538
           0    0.501348
           0    0.505171
           0    0.509002
           0    0.512834
           0    0.516663
           0    0.520484
           0     0.52429
           0    0.528079
           0    0.531843
           0    0.535579
           0    0.539283
           0    0.542951
           0    0.546579
           0    0.550163
           0    0.553701
           0    0.557188
           0    0.560623
           0    0.564002
           0    0.567322
           0    0.570583
           0    0.573781
           0    0.576915
           0    0.579983
           0    0.582984
           0    0.585917
           0     0.58878
           0    0.591573
           0    0.594295
           0    0.596947
           0    0.599527
           0    0.602035
           0    0.604471
           0    0.606835
           0    0.609127
           0    0.611348
           0    0.613499
           0     0.61558
           0    0.617592
           0    0.619536
           0    0.621412
           0    0.623223
           0    0.624969
           0    0.626653
           0    0.628275
           0    0.629836
           0    0.631338
           0    0.632783
           0    0.634172
           0    0.635506
           0    0.636789
           0    0.638022
           0    0.639206
           0    0.640345
           0    0.641439
           0     0.64249
           0    0.643502
           0    0.644475
           0    0.645411
           0    0.646314
           0    0.647184
           0    0.648024
           0    0.648836
           0    0.649622
           0    0.650384
           0    0.651124
           0    0.651844
           0    0.652545
           0    0.653229
           0    0.653898
           0    0.654553
           0    0.655197
           0    0.655832
           0    0.656458
           0    0.657077
           0    0.657691
           0    0.658302
           0    0.658911
           0    0.659518
           0    0.660127
           0    0.660737
           0     0.66135
           0    0.661967
           0    0.662591
           0    0.663222
           0     0.66386
           0    0.664509
           0    0.665168
           0    0.665838
           0    0.666519
           0    0.667213
           0    0.667922
           0    0.668646
           0    0.669385
           0    0.670141
           0    0.670914
           0    0.671705
           0    0.672514
           0    0.673343
           0    0.674192
           0    0.675062
           0    0.675952
           0    0.676864
           0    0.677798
           0    0.678754
           0    0.679734
           0    0.680738
           0    0.681768
           0    0.682822
           0    0.683902
           0    0.685006
           0    0.686134
           0    0.687287
           0    0.688466
           0     0.68967
           0    0.690899
           0    0.692154
           0    0.693434
           0    0.694738
           0    0.696068
           0    0.697424
           0    0.698804
           0     0.70021
           0    0.701639
           0    0.703092
           0    0.704568
           0    0.706066
           0    0.707586
           0    0.709127
           0    0.710689
           0    0.712271
           0    0.713872
           0    0.715492
           0     0.71713
           0    0.718786
           0    0.720459
           0    0.722147
           0    0.723849
           0    0.725564
           0    0.727292
           0    0.729032
           0    0.730781
           0     0.73254
           0    0.734307
           0    0.736081
           0    0.737861
           0    0.739648
           0    0.741437
           0    0.743229
           0    0.745023
           0    0.746817
           0    0.748611
           0    0.750405
           0    0.752195
           0    0.753982
           0    0.755763
           0    0.757539
           0    0.759307
           0    0.761067
           0    0.762818
           0     0.76456
           0    0.766289
           0    0.768007
           0    0.769712
           0    0.771404
           0    0.773079
           0    0.774738
           0    0.776381
           0    0.778005
           0     0.77961
           0    0.781195
           0    0.782759
           0    0.784301
           0     0.78582
           0    0.787314
           0    0.788784
           0    0.790228
           0    0.791645
           0    0.793035
           0    0.794397
           0     0.79573
           0    0.797035
           0     0.79831
           0    0.799554
           0    0.800765
           0    0.801945
           0    0.803092
           0    0.804207
           0    0.805287
           0    0.806333
           0    0.807345
           0    0.808322
           0    0.809264
           0    0.810171
           0    0.811043
           0    0.811877
           0    0.812676
           0    0.813438
           0    0.814163
           0    0.814851
           0    0.815502
           0    0.816117
           0    0.816694
           0    0.817234
           0    0.817737
           0    0.818204
           0    0.818633
           0    0.819026
           0    0.819383
           0    0.819703
           0    0.819987
           0    0.820235
           0     0.82045
           0    0.820629
           0    0.820773
           0    0.820883
           0     0.82096
           0    0.821004
           0    0.821015
           0    0.820995
           0    0.820943
           0     0.82086
           0    0.820745
           0    0.820599
           0    0.820424
           0    0.820219
           0    0.819985
           0    0.819722
           0    0.819431
           0    0.819113
           0    0.818767
           0    0.818394
           0    0.817994
           0    0.817568
           0    0.817115
           0    0.816636
           0    0.816133
           0    0.815606
           0    0.815053
           0    0.814478
           0    0.813879
           0    0.813257
           0    0.812613
           0    0.811947
           0    0.811259
           0    0.810551
           0    0.809821
           0     0.80907
           0    0.808299
           0    0.807508
           0    0.806697
           0    0.805867
           0    0.805018
           0    0.804152
           0    0.803269
           0    0.802369
           0    0.801452
           0    0.800518
           0    0.799568
           0    0.798602
           0     0.79762
           0    0.796624
           0    0.795613
           0    0.794587
           0    0.793546
           0    0.792492
           0    0.791423
           0    0.790342
           0    0.789247
           0    0.788139
           0     0.78702
           0     0.78589
           0    0.784751
           0    0.783602
           0    0.782443
           0    0.781275
           0    0.780099
           0    0.778914
           0    0.777721
           0    0.776522
           0    0.775317
           0    0.774107
           0    0.772893
           0    0.771675
           0    0.770454
           0     0.76923
           0    0.768004
           0    0.766776
           0    0.765548
           0    0.764321
           0    0.763096
           0    0.761874
           0    0.760655
           0     0.75944
           0     0.75823
           0    0.757027
           0     0.75583
           0    0.754641
           0    0.753461
           0     0.75229
           0    0.751129
           0     0.74998
           0    0.748844
           0    0.747723
           0    0.746617
           0    0.745525
           0    0.744449
           0    0.743389
           0    0.742347
           0    0.741324
           0    0.740321
           0    0.739339
           0     0.73838
           0    0.737442
           0    0.736527
           0    0.735636
           0    0.734769
           0    0.733926
           0    0.733109
           0    0.732318
           0    0.731555
           0    0.730819
           0    0.730112
           0    0.729434
           0    0.728785
           0    0.728166
           0    0.727579
           0    0.727022
           0    0.726496
           0    0.726001
           0    0.725537
           0    0.725106
           0    0.724707
           0     0.72434
           0    0.724006
           0    0.723705
           0    0.723437
           0    0.723204
           0    0.723005
           0     0.72284
           0     0.72271
           0    0.722614
           0    0.722554
           0    0.722529
           0    0.722539
           0    0.722585
           0    0.722665
           0    0.722781
           0    0.722932
           0     0.72312
           0    0.723344
           0    0.723604
           0      0.7239
           0    0.724233
           0    0.724603
           0    0.725011
           0    0.725456
           0    0.725939
           0    0.726458
           0    0.727015
           0     0.72761
           0    0.728243
           0    0.728911
           0    0.729616
           0    0.730357
           0    0.731133
           0    0.731945
           0    0.732792
           0    0.733673
           0     0.73459
           0    0.735541
           0    0.736526
           0    0.737544
           0    0.738594
           0    0.739676
           0     0.74079
           0    0.741934
           0    0.743108
           0    0.744311
           0     0.74554
           0    0.746795
           0    0.748075
           0    0.749377
           0    0.750702
           0    0.752047
           0    0.753411
           0    0.754792
           0     0.75619
           0    0.757603
           0     0.75903
           0    0.760468
           0    0.761916
           0     0.76337
           0     0.76483
           0    0.766294
           0     0.76776
           0    0.769225
           0     0.77069
           0     0.77215
           0    0.773606
           0    0.775056
           0    0.776497
           0    0.777927
           0    0.779345
           0    0.780749
           0    0.782139
           0    0.783511
           0    0.784863
           0    0.786196
           0    0.787506
           0    0.788794
           0    0.790059
           0    0.791298
           0    0.792511
           0    0.793697
           0    0.794856
           0    0.795986
           0    0.797086
           0    0.798157
           0    0.799196
           0    0.800205
           0    0.801182
           0    0.802128
           0    0.803043
           0    0.803925
           0    0.804775
           0    0.805594
           0    0.806383
           0    0.807142
           0    0.807871
           0    0.808569
           0    0.809237
