#   BLOCK:  TEMPERATURE:
           0        1.55
           0     1.54986
           0     1.54942
           0      1.5487
           0     1.54769
           0      1.5464
           0     1.54481
           0     1.54295
           0      1.5408
           0     1.53836
           0     1.53564
           0     1.53265
           0     1.52937
           0     1.52582
           0     1.52199
           0     1.51789
           0     1.51351
           0     1.50886
           0     1.50393
           0     1.49874
           0     1.49327
           0     1.48754
           0     1.48154
           0     1.47527
           0     1.46873
           0     1.46193
           0     1.45487
           0     1.44754
           0     1.43995
           0      1.4321
           0     1.42399
           0     1.41563
           0     1.40702
           0     1.39814
           0     1.38902
           0     1.37965
           0     1.37003
           0     1.36017
           0     1.35007
           0     1.33973
           0     1.32916
           0     1.31835
           0     1.30732
           0     1.29607
           0      1.2846
           0     1.27291
           0     1.26102
           0     1.24892
           0     1.23662
           0     1.22413
           0     1.21146
           0      1.1986
           0     1.18557
           0     1.17237
           0       1.159
           0     1.14549
           0     1.13183
           0     1.11804
           0     1.10412
           0     1.09007
           0     1.07592
           0     1.06166
           0     1.04732
           0     1.03289
           0     1.01839
           0     1.00383
           0    0.989216
           0    0.974568
           0    0.959893
           0    0.945203
           0    0.930511
           0    0.915828
           0    0.901167
           0    0.886541
           0    0.871962
           0    0.857443
           0    0.842997
           0    0.828636
           0    0.814375
           0    0.800225
           0      0.7862
           0    0.772313
           0    0.758576
           0    0.745002
           0    0.731604
           0    0.718394
           0    0.705384
           0    0.692587
           0    0.680013
           0    0.667673
           0    0.655579
           0    0.643738
           0    0.632163
           0    0.620861
           0    0.609843
           0    0.599115
           0    0.588686
           0    0.578563
           0    0.568754
           0    0.559263
           0    0.550097
           0    0.541261
           0     0.53276
           0    0.524596
           0    0.516773
           0    0.509294
           0     0.50216
           0    0.495373
           0    0.488933
           0    0.482841
           0    0.477095
           0    0.471696
           0    0.466641
           0     0.46193
           0    0.457558
           0    0.453524
           0    0.449823
           0    0.446451
           0    0.443405
           0    0.440679
           0    0.438268
           0    0.436166
           0    0.434368
           0    0.432868
           0    0.431658
           0    0.430731
           0    0.430081
           0      0.4297
           0     0.42958
           0    0.429713
           0    0.430091
           0    0.430706
           0    0.431551
           0    0.432616
           0    0.433892
           0    0.435372
           0    0.437046
           0    0.438905
           0    0.440942
           0    0.443147
           0    0.445512
           0    0.448027
           0    0.450685
           0    0.453477
           0    0.456393
           0    0.459425
           0    0.462566
           0    0.465806
           0    0.469137
           0    0.472552
           0    0.476043
           0    0.479601
           0     0.48322
           0    0.486892
           0    0.490609
           0    0.494365
           0    0.498154
           0    0.501968
           0      0.5058
           0    0.509644
           0    0.513495
           0    0.517346
           0    0.521193
           0    0.525031
           0    0.528853
           0    0.532655
           0    0.536433
           0    0.540182
           0    0.543897
           0    0.547575
           0    0.551212
           0    0.554803
           0    0.558347
           0     0.56184
           0    0.565279
           0    0.568661
           0    0.571985
           0    0.575246
           0    0.578445
           0    0.581579
           0    0.584646
           0    0.587645
           0    0.590574
           0    0.593434
           0    0.596223
           0     0.59894
           0    0.601586
           0    0.604159
           0    0.606661
           0    0.609089
           0    0.611445
           0    0.613729
           0    0.615942
           0    0.618084
           0    0.620155
           0    0.622157
