#     Temperature:    Magnetization:         ERROR:
               0.5          0.882096        0.00526117
               0.6          0.677034        0.00534218
               0.7          0.445382        0.00371849
               0.8          0.294355        0.00248689
               0.9          0.201452        0.00162924
                 1           0.14512        0.00149158
               1.1          0.110325        0.00107371
               1.2         0.0869652       0.000881167
               1.3         0.0700519        0.00067938
               1.4         0.0583926       0.000553009
               1.5         0.0498006       0.000543837
               1.6         0.0431235        0.00048094
               1.7         0.0379713       0.000407669
               1.8         0.0337298       0.000350796
               1.9         0.0299979       0.000309399
                 2         0.0271124       0.000291373
