Generation  Best distance  Mean distance
1        2052.36        2804.45
2        2052.36        2554.82
3        1985.89        2324.94
4        1865.91         2163.8
5        1833.45        2052.17
6        1788.38        1984.05
7        1641.79        1904.66
8        1597.91         1809.1
9        1528.36         1705.9
10         1503.1        1627.09
11        1445.65        1581.11
12        1427.49        1536.67
13        1399.11        1491.34
14        1386.77        1451.55
15        1350.07        1425.34
16        1350.07        1402.69
17        1337.55         1385.3
18        1325.25        1369.42
19        1312.25        1357.12
20        1302.24        1339.27
21        1253.75        1328.38
22        1253.75        1310.68
23        1240.43        1296.08
24        1225.59        1280.66
25        1219.04         1266.2
26        1203.41        1254.39
27        1150.69        1229.21
28        1110.46        1207.43
29        1085.35        1184.44
30        1030.31        1148.41
31          952.7        1112.93
32          952.7        1070.23
33        951.881        1029.24
34         946.37        993.234
35         903.47        972.085
36         903.47        953.061
37         903.47        929.609
38        894.847        917.751
39        881.723        909.914
40         849.25        902.049
41         849.25        893.918
42         849.25        886.185
43        845.607        870.684
44        827.503        861.568
45        823.116        854.187
46        823.116        846.208
47        815.304        837.322
48        806.511        831.005
49        803.034        821.975
50         794.45        817.124
51        780.848         815.01
52        773.491        814.412
53         768.74        810.124
54        750.259        807.795
55        750.259        811.871
56        743.542        810.052
57        737.541        807.549
58        725.688         784.72
59        721.642        766.932
60        707.822        752.397
61         693.99        747.447
62        682.294        736.711
63        666.463        721.078
64        666.463        705.082
65        659.746        694.217
66        643.039        679.578
67        636.627        672.297
68        631.436        661.793
69        624.719        651.933
70        624.719        642.185
71        618.307        633.646
72        618.307        628.942
73        618.307        624.214
74        608.462        621.973
75        608.462        620.036
76        608.462        617.414
77        602.379        613.762
78        590.834         611.63
79        582.766         607.42
80        582.766        599.559
81        582.766        592.176
82         563.92        587.012
83         563.92        582.064
84        562.835        575.422
85        559.031        570.993
86        557.946        566.189
87         551.41        561.876
88        538.095        559.758
89         521.65        554.879
90        517.792        546.048
91        516.706        537.275
92        514.193        528.074
93        509.043         520.33
