Generation  Best distance  Mean distance
1        2332.78        2775.31
2        2220.06        2615.94
3        2193.72        2463.13
4         2119.7        2366.75
5        1928.69        2274.54
6        1852.61        2176.93
7        1812.05        2063.12
8        1749.66        1947.74
9        1710.78        1867.04
10        1571.84        1805.75
11        1545.22        1757.57
12        1507.45        1695.07
13        1507.45        1627.31
14        1446.62        1590.47
15        1435.77        1553.05
16        1427.31        1510.66
17        1417.53        1484.66
18        1372.93         1461.1
19        1281.93        1437.53
20        1274.76        1409.93
21         1229.2        1363.39
22        1215.25        1314.85
23        1165.88        1276.74
24        1137.25        1244.27
25           1105        1208.93
26        1072.85        1181.57
27        1065.68        1155.17
28         1043.9        1124.64
29        1024.53         1100.2
30         1017.7        1074.02
31        1014.98        1058.88
32        1009.37        1045.27
33        968.068        1033.83
34        958.517        1023.08
35        954.331        1005.01
36        927.355        984.507
37         921.71         967.81
38        908.238        950.227
39        908.238         933.61
40        896.191        921.495
41        889.371        913.037
42        875.443        905.424
43        859.191        895.843
44        845.807        887.598
45        845.807        874.346
46        838.323        864.388
47        838.323        856.147
48         832.74        847.166
49         832.74        843.922
50        824.199        838.813
51         824.88        835.482
52        817.812        831.823
53        803.537        827.813
54        794.655        822.639
55        787.512        817.063
56        778.603        810.515
57        778.603        800.649
58        774.824        791.314
59         764.66         784.44
60        757.993        778.637
61        731.301        772.905
62        712.493        764.122
63        712.493        748.982
64        701.236         727.87
65         692.82        714.729
66         691.04        706.833
67        679.876         701.06
68        667.754        695.568
69        662.111        687.993
70        662.111          681.9
71        659.273        674.678
72        656.291        669.079
73         638.91        667.905
74         638.91         664.55
75        633.522         657.77
76        571.059        645.991
77        571.059        634.848
78        561.336        618.885
79         551.66        604.651
80        536.607        587.866
81        526.932        572.954
82        520.181        556.958
83        510.505        542.175
84        505.146        529.985
85        505.146        520.058
86        505.146        513.056
87        500.841        508.721
88        498.069        507.218
89        491.675        503.905
90        491.675        500.594
91        486.212        497.904
92         485.94        495.819
93        484.794        492.885
94        478.466        489.766
95        478.466        487.537
96        474.188        483.534
97        468.089        480.619
98        465.328        477.622
99        459.056        474.058
100        459.056        470.223
101         456.35        465.725
102        455.603        462.178
103        450.238        459.009
104        447.729        456.147
105        447.729        453.434
106        444.585        451.093
107        444.585        448.896
108        436.246        446.756
109        434.464        444.964
110        432.451        442.041
111        431.369        438.953
112        427.762        434.588
113        427.762        432.832
114        427.762        430.793
115        427.762        429.449
116         418.76        428.651
117        417.559        427.847
118        417.505        424.378
119        416.767        421.122
120        404.968        418.013
121        382.414        415.963
122        382.361        409.577
123        382.361        400.094
124        375.529        389.008
125        375.476        384.574
126        375.334        380.611
127         370.84        377.578
128        370.787        375.461
129        369.733        373.887
130        358.137        372.232
131        358.084        370.644
132        357.553         369.17
133        355.595        366.364
134         354.37        362.383
135        354.328        357.862
136        346.241        356.177
137        346.241         354.44
138        344.773        352.164
139         344.72        349.551
140        344.216        347.402
141         340.74        345.327
142         340.74        344.876
143         336.52        345.204
144        328.858        346.773
145        328.858        346.879
146        326.548        346.486
147        326.548        342.419
148        326.548        338.484
149        326.548        335.118
150         326.23        332.656
151        324.902        329.157
152         324.84        327.444
153        322.856        326.422
154        319.042        326.329
155        319.042        325.995
156        319.042        325.231
157        319.042        326.274
158        319.042        328.338
159        319.042        332.922
160        319.042        335.613
161        319.042        330.002
162        319.042         328.84
163        319.042        329.738
164        319.042        327.403
165        314.615        325.612
166        314.615        324.507
167        311.963        321.145
168        294.946        317.745
169        284.661        314.897
170        284.661        311.677
171        282.009        307.615
172        282.009        298.334
173        282.009        292.048
174        281.999        289.522
175        281.999        286.115
176        253.131        282.582
177        253.131        281.798
178        253.131        282.862
179        253.131        284.485
180        246.207        289.074
181        246.207        285.984
182        245.697        274.603
183        245.697        259.231
184        245.697        255.549
185        245.697        250.429
186        245.697        250.253
187        245.697        247.893
188        245.697        249.394
189        245.697        250.093
190        245.583        247.924
191        243.088        246.542
192        240.565        246.175
193        240.565        245.034
194        240.565        243.415
195        240.169        242.346
196        239.945         241.55
197        239.502        240.723
198        239.277        240.606
199        239.011        240.165
200        238.343        239.719
201        220.911        238.648
202        220.603        236.693
203        215.962        232.607
204         214.98        229.428
205        214.313        224.199
206        214.313        220.669
207        214.313        217.253
208        214.313        215.871
209        213.714        215.138
210        213.714        214.683
211        213.714        214.314
212        212.116        214.024
213        211.518        213.951
214        211.397        213.335
215        210.303        212.509
216        210.303        211.776
217        210.303         210.99
218        203.427        210.666
219        203.307         209.93
220        202.762        207.899
221        202.623        205.311
222        202.623        203.598
223        201.195        202.906
224        196.533         202.61
225        195.105        201.645
226        195.105        200.111
227        195.001        197.481
228        194.426        195.859
229        192.084        195.398
230        191.405        194.739
231        191.266        193.707
232        191.266        192.562
233        191.266        191.729
234        191.266        191.452
235        191.266        191.422
236        188.492        191.385
237        187.659        191.144
238        187.325        190.223
239        185.417        189.345
240        185.417        188.516
241        185.417        187.701
242        185.417        186.913
243        185.002        186.801
244        185.002        186.364
245        185.002        186.545
246        183.024        187.645
247        183.024        188.407
248        183.024        186.839
249        183.024        184.959
250        183.024        184.364
251        183.024        185.187
252        183.024        184.662
253        181.648        185.566
254        181.648        185.181
255        174.917        183.498
256        174.917        181.701
257        174.917        179.363
258        174.917        178.323
259        174.917        177.235
260        174.751        177.286
261        174.751        176.826
262        174.509        175.616
263        174.343        174.859
264        173.172        174.673
265        172.764        174.476
266        168.611        173.998
267        167.032        173.162
268        166.272        171.501
269        164.693        169.277
270        164.693        167.492
271        164.693        166.157
272        164.693        165.583
273        164.693        165.435
274        164.693        165.474
275        164.693        165.828
276        160.296        167.338
277        160.296        165.513
278        160.296        163.806
279        160.296        162.455
280        160.296        161.957
281        160.296        161.506
282        160.043        161.607
283        160.043        161.371
284        160.043        160.448
285        159.954        160.178
286        159.701         160.12
287        159.701        160.011
288        159.701        159.914
289        158.666        159.814
290        158.666        159.692
291        158.598        159.345
292         157.31        159.031
293        156.949        158.502
294        156.949        157.996
295        156.949        157.551
296        156.949         157.26
297        156.949        157.102
298        156.949        157.149
299        156.949        157.126
300         155.67        157.062
301        150.998        156.962
302        150.998        156.461
303        150.998        160.357
304        150.076        159.703
305        150.076        158.482
306        150.076        159.686
307         147.85        158.277
308         147.85        158.233
309         147.85        156.459
310         147.85        157.161
311         147.85        155.814
312         147.85        156.808
313        144.652        155.931
314        144.652        151.747
315         141.54        148.164
316        139.875        146.359
317        137.461        144.101
318        137.461         141.66
319        137.461        139.651
320        136.286        138.366
321        136.286          137.8
322        136.286        136.909
323        136.286        136.647
324        136.286        136.559
325        136.286        136.611
326        136.286        136.905
327        136.286        136.816
328        136.286        137.177
329        136.286        138.162
330        136.286        138.772
331        136.286        140.447
332        136.286        139.504
333        136.286        141.896
334        136.286        139.258
335        136.286        140.976
336        136.286        141.784
337        135.381        139.545
338        135.381        137.652
339        132.649        136.065
340        132.649        135.507
341        131.056        134.395
342        131.056        133.562
343        131.056        132.433
344        131.056        131.932
345        131.056        131.761
346        131.056        132.051
347        130.043         132.17
348        127.083        131.747
349        127.083        130.565
350        126.041        129.477
351        126.041        128.854
352         125.87        128.052
353        125.718        127.024
354        125.076        126.366
355        124.904        125.957
356        124.753        125.551
357        124.753        125.174
358        124.753        124.888
359        124.753         124.82
360        124.753        124.803
361        124.753        124.803
362        124.753        124.805
363        124.753        124.799
364        124.753        124.807
365        124.707        124.812
366        124.202        124.787
367          123.2        124.685
368        121.331        124.439
369        121.331        123.772
370        119.795        122.897
371        119.795        121.839
372        119.795        120.806
373        119.795        120.481
374        119.795        120.338
375        119.795        120.315
376        119.795        120.471
377        119.795        120.509
378        119.795        120.568
379        119.795        120.472
380        119.795        120.707
381        119.795        121.036
382        119.795        120.778
383        119.795        121.176
384        119.363         121.52
385        119.363        120.374
386        119.115        119.933
387        118.769        119.549
388        118.337        119.315
389        117.472         119.02
390        117.472        118.695
391        117.472        118.265
392        117.472        117.901
393        117.472        117.742
394         117.36        117.754
395        116.496        117.603
396        114.228        117.321
397        114.228        116.658
398        114.228        115.783
399        114.228        115.047
400        113.724        114.729
401         112.48        114.585
402        111.768        114.164
403        111.662        113.379
404        111.662        112.676
405        111.662        111.974
406        111.662        111.792
407        111.155        111.709
408        110.443         111.63
409        110.443        111.401
410        110.443        111.089
411        110.443         110.77
412        110.443        110.651
413        110.443        110.636
414        110.443        110.648
415        110.443        110.664
416        110.443        110.645
417        110.443        110.695
418        110.443        110.783
419        108.713        110.964
420        108.713        110.552
421        108.713         109.98
422        108.713        109.601
423        108.713        109.426
424        108.713        109.622
425        108.713        109.926
426        105.832        109.731
427        105.832        110.173
428        105.445        110.365
429        105.445        109.411
430         104.85        108.614
431         104.85        108.554
432         104.85        107.042
433         104.85        106.409
434         104.85        105.685
435         104.85        105.493
436         104.85        105.534
437         104.85        105.778
438         104.85         105.74
439         104.85        106.925
440         104.85         106.62
441         104.85        106.061
442         104.85          106.2
443         104.85        106.782
444         104.85        106.737
445         104.85        107.596
446         104.85        108.055
447         104.85        107.473
448         104.85        107.396
449         104.85        107.345
450        104.096        107.412
451         103.04        106.966
452         103.04        106.046
453        102.185        105.332
454        100.922        105.336
455        100.922        104.192
456        100.922        102.956
457        100.922        102.841
458        100.922        102.404
459        100.922        102.236
460        100.922        102.167
461        100.922        102.605
462        100.922        102.629
463        100.922        101.846
464        100.922        102.328
465        100.922        102.651
466        100.922        102.704
467        100.922        103.593
468        100.174        104.101
469        100.174        102.135
470        100.174        100.678
471        100.174        100.506
472        100.174        100.455
473        99.4506        100.439
474        99.4506        100.347
475        99.4506        100.044
476        99.4506        99.8471
477        98.7896        99.7763
478        98.7896        99.6232
479        98.7896        99.3145
480        98.2012        99.1395
481        98.0351        99.0048
482        98.0351        98.8067
483        98.0351        98.5603
484        97.9761        98.5966
485        97.9761        98.5506
486        97.5548        98.1558
487        97.4958        97.9936
488        97.4958        97.8133
489        97.4958        97.6561
490        97.4958        97.5935
491        97.4958        97.5544
492        97.4958        97.5649
493        97.4958        97.6597
494        97.4958         97.693
495        97.4958        98.2435
496        96.8154        98.0175
497        96.8154        98.0017
498        96.8154        97.2555
499        96.8154        97.1002
500        96.1617        97.0198
501        96.8154         97.143
502        96.8154        97.0015
503        96.8154        97.0132
504        96.1617        97.0134
505        96.1617        96.9395
506        95.7501        96.6531
507        95.7501        96.4188
508        95.4594        96.1083
509        95.4594         95.882
510        95.4411        95.7217
511        95.4411        95.5857
512        95.4411        95.5143
513        95.4411        95.4489
514        95.4411        95.4467
515        95.4411         95.447
516        95.4411        95.4469
517        95.4411        95.4498
518        95.4411        95.4472
519        95.4411        95.4599
