Generation  Best distance  Mean distance
1        2285.15        2779.28
2        2171.73         2601.6
3        2057.11        2453.76
4        2057.11         2347.5
5        1937.38        2230.02
6        1919.29        2139.44
7        1910.14        2057.91
8        1854.27        1984.01
9        1792.34        1935.28
10        1700.64        1897.37
11        1600.46         1837.5
12        1560.61        1752.56
13         1524.5        1684.53
14        1452.53        1613.49
15        1452.53        1561.99
16        1444.93        1531.72
17        1402.74        1509.91
18        1384.63        1484.94
19        1380.52        1455.18
20        1380.52         1424.2
21        1330.14        1406.59
22        1310.05         1384.7
23         1295.2        1362.22
24        1277.55        1345.56
25        1215.45        1322.21
26        1145.21        1299.24
27        1123.68        1261.67
28        1123.68        1219.22
29        1095.68        1182.33
30        1089.77        1155.07
31        1033.55        1121.46
32        1032.35        1099.92
33        997.551        1080.07
34        991.649        1053.81
35        991.649        1026.28
36         989.14        1007.64
37        968.964        1001.29
38        966.455        992.255
39        961.471        985.045
40        949.184        978.606
41        943.483        969.626
42         896.56        961.025
43         889.38        949.855
44        881.081        932.628
45        864.652        916.723
46        860.747        903.515
47        850.033        891.108
48        841.111        883.295
49        804.284        871.085
50        793.166        860.775
51        786.162        844.824
52        783.079        824.831
53         775.72        810.771
54        771.375        792.554
55        765.644        783.219
56         753.94        776.416
57        721.277          768.6
58         709.76          758.5
59        707.734        744.635
60        701.143        724.717
61        698.824        712.394
62        697.238        708.165
63        683.729        703.094
64        673.125        698.521
65        673.125        693.096
66        659.617        687.026
67        659.617        679.187
68        659.617        672.449
69        651.217        669.305
70        638.458        666.681
71         631.54        661.145
72        618.454        651.887
73        618.454        641.815
74        604.332        632.994
75         583.11        623.288
76        570.024        613.454
77        561.912        601.676
78        553.391        587.267
79        553.391        573.976
80        550.388        565.292
81         550.28        558.607
82        541.758        554.378
83        541.758         551.31
84        530.849        547.486
85        530.849        543.758
86        530.849        539.721
87        530.849          535.9
88        523.472        534.833
89        523.472        532.996
90        523.472        530.851
91        518.753        529.683
92        514.036        527.803
93         510.91        523.252
94        504.454        518.845
95         498.28        515.081
96         498.28        510.561
97        495.464        506.039
98         487.35        502.178
99        480.031        497.609
100        480.031        493.171
101        466.484        487.668
102        466.484        483.768
103         453.06        479.835
104         453.06        477.951
105         453.06        471.464
106        447.962        464.337
107        444.595        457.898
108        425.059        453.727
109        424.096        447.987
110        423.923        438.819
111         422.39        432.082
112        420.748        426.858
113        417.788        423.691
114        406.358        422.305
115        406.358        420.125
116        406.358        417.182
117         402.06         414.45
118        400.924        411.163
119        400.371        406.685
120        396.423         403.19
121        396.423        401.817
122        395.869        399.756
123        395.869        398.326
124        392.854        397.345
125        392.854        396.085
126        381.894        395.432
127        381.894        393.965
128        378.777        391.516
129        376.594        388.211
130        372.697        385.123
131        372.392        380.836
132        369.484        377.274
133        368.169         374.62
134        361.784        372.156
135        358.042        369.145
136        356.065        366.884
137        353.105        363.359
138        353.105        359.268
139        348.551        356.154
140        347.166        353.714
141        341.828        351.369
142        341.548        348.562
143        340.679        345.466
144        337.943        343.003
145        336.794        341.078
146        335.973        339.653
147         333.09        338.026
148         327.49         336.29
149         327.49          334.8
150         327.49         332.77
151        326.743        332.389
152        324.901        331.247
153        324.901        330.354
154        324.901        328.971
155        318.309        327.336
156        318.309        325.948
157        318.309        323.918
158        317.894        322.663
159        317.894        320.644
160        317.212        318.805
161        316.786        317.982
162        315.884        317.701
163        309.378        317.254
164        308.142        315.941
165        307.394        312.878
166         303.14        309.326
167         303.14        307.651
168        300.135         306.28
169        300.135        304.828
170        298.014        303.179
171        296.687        301.205
172        294.966        298.866
173        294.409        297.493
174        294.409        296.679
175         291.99        295.341
176        264.807        293.658
177        264.807        289.979
178        264.807        285.545
179        264.807        284.693
180        264.333        285.327
181        264.333        282.123
182        260.359        274.734
183        259.886        267.273
184        257.196        263.168
185         251.65        261.486
186        251.176        259.843
187        251.176        259.429
188        251.176        258.566
189        251.176        257.275
190        250.763        256.008
191        250.763        254.983
192        250.112         252.47
193        249.225        251.903
194        249.225        250.675
195        249.225        250.078
196        244.809         249.83
197        244.809        249.543
198        244.809        249.302
199        244.809         250.28
200        244.809        256.598
201        219.892        253.225
202        219.892        247.386
203        219.892        239.642
204        217.933        233.276
205        217.933        228.582
206        217.933         226.64
207         206.77        226.411
208         206.77        221.745
209         206.77         217.18
210        206.114         212.33
211        206.114        210.418
212        206.114        207.857
213        206.114        206.557
214        206.114        206.446
215        206.114        206.461
216        206.114        206.433
217        206.114        206.767
218        205.758        206.607
219        204.474        206.354
220        203.928         205.98
221        202.288        205.411
222        202.288        204.518
223        200.974        203.484
224        200.974         202.74
225        200.974        201.877
226        198.625        201.561
227        198.625        201.448
228        198.625        203.045
229        198.625        210.642
230        198.625        218.382
231        198.625        227.668
232        198.625        224.697
233        198.625        229.684
234        198.625        229.907
235        198.625        229.671
236        198.625        227.617
237        198.625        225.149
238        198.625        222.664
239        198.625        216.569
240        198.625        217.199
241        198.625        218.879
242        198.625        217.216
243        198.625        214.383
244        198.625        209.513
245        198.625        207.449
246        197.626        208.393
247        197.626        206.402
248            196        201.399
249        194.907        199.729
250        189.167        197.347
251        183.024        196.154
252        183.024        193.898
253        183.024        191.759
254        183.024        191.649
255         182.77        190.869
256         182.77         187.71
257        182.666        185.285
258        182.666         183.61
259        182.666        182.846
260         177.87        182.698
261         176.69        181.978
262        174.092        180.122
263        174.092         177.77
264        174.092        175.987
265        174.092         175.39
266        174.092        174.992
267        174.092        174.799
268        174.092        174.749
269        174.092        174.792
270        174.092        174.832
271        174.092        174.701
272        174.092        174.773
273        172.504        175.139
274        172.504        174.736
275        171.578        173.609
276        164.594        172.505
277        160.296        170.218
278        158.673        166.817
279         158.42        163.479
280         158.42        160.924
281        158.316        159.558
282        158.316        158.972
283        158.211        158.628
284        158.211        158.416
285        158.107         158.39
286        158.107        158.262
287        158.107        158.222
288        157.756        158.223
289        157.547         158.55
290        157.547        158.005
291        157.547        157.871
292        157.547        157.765
293        157.547        157.729
294        157.377        157.738
295        156.817        157.683
296        156.817        157.432
297        155.804        157.223
298         154.98         156.94
299        153.946        156.566
300        153.946        156.134
301        153.946        155.704
302        153.946         155.16
303          153.2        154.803
304        152.638         154.79
305        151.353        154.094
306        150.052         153.53
307        149.386        152.925
308        149.386        152.141
309        149.386        151.039
310        148.818        150.684
311        148.818        149.764
312        148.818        149.265
313        148.818        149.043
314        148.408        149.001
315        148.408        148.901
316        148.408          148.7
317        148.408        148.609
318        148.408        148.578
319        148.408        148.586
320        148.408        148.578
321        148.408        148.561
322        147.649        148.741
323        147.649        148.538
324        147.649        148.195
325        147.649            148
326        142.413        147.635
327        142.413        146.862
328        140.803         145.82
329        140.352        145.571
330        139.265        145.624
331        137.994        143.087
332        137.656        141.095
333        137.656        140.125
334        137.656        138.885
335        137.576        138.277
336        137.576         137.88
337        135.209        137.648
338        134.381        137.377
339        134.043        136.751
340        134.043        135.882
341        134.043        135.073
342        134.043        134.626
343        134.043        134.418
344        133.926        134.305
345        133.926        134.315
346        133.926         134.05
347        133.926        133.983
348        133.926        133.969
349        133.685        133.992
350        133.685        133.949
351        124.817        133.552
352        124.817        132.464
353        123.269        130.836
354        123.269        128.444
355        118.761        125.999
356        118.761        124.266
357        118.761        122.509
358        118.761         121.14
359        118.761        120.469
360        118.761        120.275
361        118.761        120.144
362        116.949        119.881
363        116.949        119.382
364        116.949        118.097
365        116.949        117.803
366        116.949        117.634
367        116.949         117.65
368        116.949        117.511
369        116.949         117.52
370        116.949        117.626
371        116.949        117.555
372        116.949        118.078
373        116.949        118.055
374        116.949          117.6
375        116.949        118.305
376        116.949        118.809
377        116.949        118.891
378        116.588        118.563
379        116.588         118.08
380        116.588        117.044
381        116.588        116.779
382        116.588        116.852
383        116.588        117.114
384        116.209        117.126
385        115.552        116.885
386        115.552        116.407
387        115.191        116.046
388        115.191         115.79
389        114.997        115.447
390        114.636        115.315
391        114.636        115.133
392        114.636        114.896
393        114.636        114.847
394        114.636        114.787
395        114.636        114.791
396        111.557        114.752
397        111.557         114.42
398        111.557         113.72
399        111.557        113.024
400        111.557        112.777
401        110.055        113.262
402        110.055        112.443
403        109.753         111.18
404          109.2        110.485
405          109.2        110.041
406          109.2        109.689
407        108.839        109.512
408        108.839        109.343
409        108.839          109.1
410        108.822        108.995
411        108.822        108.945
412        108.822        108.857
413        108.822        108.852
414         107.86        108.825
415        106.985        108.737
416        106.706        108.393
417        105.832        107.803
418        105.832        107.031
419        105.832        106.507
420        105.832         106.23
421        105.832        106.166
422        105.832        106.139
423        105.832        106.093
424        105.832        106.165
425        105.832        106.212
426        105.832        106.417
427        105.832        106.531
428        105.832        106.919
429        105.832         108.04
430         105.42        107.667
431         105.42         108.21
432         105.42        107.977
433         105.42        108.617
434         105.42        109.553
435         105.42        109.375
436         105.42        108.689
437         105.42        110.504
438         105.42        109.843
439         105.42        109.331
440         105.42        110.576
441         105.42         108.58
442         105.42        109.557
443         105.42        108.942
444         105.42        111.483
445         105.42         110.05
446         105.42         110.12
447         105.42        109.949
448         105.42        109.493
449        105.084        107.505
450        105.084        106.706
451        103.593        105.774
452        103.593        105.477
453        103.593        105.363
454        103.593         105.31
455        103.593        105.398
456        103.593        106.007
457        103.593         105.93
458        103.593        106.033
459        103.593        106.515
460        103.593        106.866
461         102.12        105.868
462         102.12        104.288
463         102.12        103.408
464         102.12        102.822
465         102.12        102.627
466        102.057        102.617
467        102.057        102.484
468        102.057        102.256
469        102.057         102.13
470        102.057        102.083
471        102.057        102.082
472        102.057        102.102
473        102.057        102.187
474        102.057        102.409
475        102.057        102.462
476        101.071        102.821
477        100.133        102.269
478        100.133          101.5
479        100.133        100.956
480        100.133        100.675
481        100.133        100.441
482        100.133        100.469
483        100.133        100.448
484        100.133        100.365
485        99.7803        100.339
486        99.7803        100.212
487        99.7803        99.9971
488        99.7803         99.911
489        99.7803        99.8941
490        99.7803        99.9046
491        99.7803        99.9637
492        99.7803        99.9133
493        99.7803        99.9461
494        98.9504        99.8962
495        98.5975        99.8629
496        98.5343        99.5327
497         97.888        99.3218
498         97.888        98.8429
499         97.888        98.3946
500         97.888        98.2168
501        92.5492        97.9304
502        92.5492        96.5614
503        92.1937        94.6425
504         90.657        93.6949
505         90.657        93.0073
506         90.657        92.0443
507         90.657         91.459
508         90.657        91.1084
509         90.657        91.0442
510         90.657        91.0517
511         90.657        91.0244
512         90.657        90.9314
513         90.657        90.9403
514         90.657        91.0596
515         90.657        90.9713
516         90.657        91.4181
517         90.657        91.3907
518         90.657        91.2326
519         90.657        91.5652
520         90.657        91.4311
521         90.657        92.0923
522         90.657        91.3734
523         90.657        91.4244
524         90.657        92.2254
525         90.657        92.5715
526         90.657        92.6292
527         90.657        92.2153
528         90.657        92.8746
529         90.657        91.8712
530         90.657         92.553
531         90.657        92.8687
532         90.657        92.2613
533         90.657        92.4928
534         90.657         92.008
535         90.657        92.1087
536         90.657         92.483
537         90.657        92.2412
538        90.5102        92.3945
539        90.5102        91.9627
540        89.6783         91.179
541        89.6783        90.5474
542        89.6783        90.2739
543        89.6783         90.151
544        89.6783        90.0221
545        89.6783        90.1144
546        89.6783         90.575
547        89.6783        91.3053
548        89.6783        91.4446
549        88.5417        92.2201
550        88.5417        91.3982
551        88.5417        89.9208
552        88.5417        89.1889
553        88.5417        88.9644
554        88.5417        88.9389
555        88.5417        88.9688
556        88.5417         89.036
557        88.5417          88.95
558        88.5417        89.6556
559        87.6832        89.3309
560        87.6832         88.989
561        87.6832        88.3679
562        87.6832        88.0912
563        87.6832        87.9882
564        87.6832        87.9769
565        87.6832        87.9581
566        87.6832        87.9694
567        87.6832        87.9902
568        87.6832        88.0114
569        87.6832        88.0113
570        87.6832        88.1558
571        87.6832        88.7181
572        87.6832         88.896
573        87.6832        88.7944
574        87.6832        89.1675
575        87.6832        90.5268
576        87.6832        89.7161
577        87.4199        89.5977
578         87.067        88.0899
579        86.9546        88.0779
580        86.9546        87.6621
581        86.9546        87.4518
582        86.9546        87.2725
583        86.9546        87.1111
584        86.9546        87.1766
585        86.9546        87.5268
586        86.9546        87.5342
587        86.9546        88.2856
588        86.9546        89.5642
589        86.3497        89.1285
590        86.3497        89.0964
591        86.1916        88.0813
592        86.1916        87.1398
593        84.7473        86.4696
594        84.7473        86.2818
595        84.7249        85.7865
596        84.7249        85.3516
597        84.7249        85.0366
598        84.7249        84.8543
599        84.7249        84.8214
600        84.7249        84.8677
601        84.7249        84.7864
602        84.7249        84.8145
603        84.7249        84.7795
604        84.7249        84.8719
605        84.7249         84.841
606        84.7249        84.7729
607        84.7249        84.8098
608        84.7249        84.8402
609        84.7249        84.9505
610        84.7249        85.3591
611        84.7249        85.5348
612        84.7249        85.8398
613        84.7249        85.1051
614        84.7249        85.6358
615        84.7249        85.9787
616        83.5656        85.9748
617        83.5656        86.5178
618        83.5656        84.9273
619        83.5656        84.0906
620        83.5656        83.9413
621        83.5656        84.0342
622        83.5656        84.1157
623        83.5656         84.376
624        83.5656        84.1718
