Generation  Best distance  Mean distance
1        2211.39        2785.85
2        2123.38        2590.62
3         2094.4        2394.49
4        2016.62        2253.63
5        1978.12        2147.43
6        1842.75         2084.7
7         1805.7        2023.93
8        1682.67        1957.84
9        1682.67        1897.67
10        1639.82        1822.13
11        1638.06        1750.77
12        1589.48        1694.85
13        1575.47        1647.68
14         1542.5        1619.62
15        1477.27        1595.09
16        1450.46           1568
17        1447.42        1533.03
18        1411.29         1493.1
19         1385.9        1465.75
20        1376.38        1439.79
21        1368.66        1410.93
22        1343.61        1391.91
23        1329.55        1375.49
24        1317.34        1360.08
25        1285.15        1344.28
26         1274.4        1334.11
27        1273.91        1324.26
28        1242.92        1309.48
29        1238.42        1294.23
30        1206.94        1277.45
31        1193.59        1255.17
32        1193.59        1233.32
33        1175.41        1216.97
34        1162.05        1201.21
35        1149.83        1188.01
36        1143.59        1176.89
37        1130.54        1168.58
38        1117.18        1162.63
39        1117.18        1154.88
40        1115.36        1149.07
41        1105.47         1147.6
42        1105.47        1135.45
43         1087.2        1130.98
44         1087.2        1131.48
45        1079.44        1122.29
46         1063.4        1108.47
47        1059.75        1092.61
48        1053.22        1081.58
49         1019.5        1072.08
50         1019.5        1061.38
51        902.179         1048.6
52        902.179        1026.68
53        890.699        1001.31
54        890.699        987.498
55        884.695        957.632
56        875.495        923.618
57        875.495        899.431
58        875.495        885.268
59        867.467         881.82
60        834.617        877.068
61        826.589        869.224
62        800.282        855.682
63        800.282        834.996
64        800.282        816.775
65        799.514          808.9
66        778.698        804.587
67        777.994        798.533
68        762.811        791.441
69        762.811        783.443
70        762.811        775.269
71        737.593         771.23
72        737.593        766.274
73        737.593        758.461
74        737.593        750.317
75        698.932        746.941
76        653.079        741.256
77        653.079          731.9
78        652.515         728.76
79        641.403        730.449
80        641.403        715.015
81         635.99        683.818
82         612.92        672.907
83         612.92        651.666
84        607.743        635.703
85        607.743        624.186
86        590.835        615.751
87        590.835        609.831
88        576.991        602.378
89        568.102          594.2
90        568.102        585.032
91        563.931        576.442
92        563.931        571.622
93        561.041        568.075
94        561.041        566.397
95        558.941        565.095
96        554.612        563.658
97        554.612        561.531
98        551.182        558.714
99        509.914        556.279
100        509.914        549.991
101        484.526        538.797
102        484.526         529.08
103        484.526        528.996
104        484.526        537.981
105        484.526         546.09
106        477.805        544.695
107        477.494        549.397
108        467.012        520.547
109        467.012        502.432
110        467.012        488.943
111        466.272        477.232
112        466.272        475.404
113        463.629        476.611
114        463.629        477.483
115        463.629        479.338
116        463.629        480.592
117        461.918        480.582
118        450.784        475.524
119        450.784        475.529
120        449.073        471.409
121        436.503        465.824
122        434.792            463
123        426.021        452.869
124        415.298        443.469
125        415.298        435.537
126        374.726        424.432
127        368.306        418.205
128        368.306        412.917
129        363.872        405.174
130        363.304        399.391
131        363.304         399.64
132        363.304        389.537
133        358.112        379.957
134        346.559        373.734
135        346.559        366.979
136        344.589        361.519
137        337.718        359.932
138        335.287        353.733
139        335.036        350.589
140        335.036        350.095
141        331.689        343.544
142        329.718        340.382
143        324.872        340.998
144        323.136          342.7
145        322.901        340.994
146        319.957        338.673
147         319.27        335.232
148         319.27        325.772
149        315.088        322.762
150        315.088        321.563
151        293.733        320.276
152         290.67        318.086
153         290.67        319.966
154         290.67        313.623
155         290.67        311.838
156         290.67        308.341
157         290.67        309.985
158        289.296        302.823
159        289.296        295.384
160        288.792        291.015
161        286.723        289.977
162        286.723        289.017
163        286.513        288.247
164        282.462        287.319
165        282.252         286.53
166        278.307        285.422
167        278.307        283.668
168        278.097        282.164
169        275.535        280.022
170        275.325        278.737
171        273.186        277.107
172        273.186        276.099
173        269.999        275.297
174        267.945        273.417
175        267.945        271.759
176        266.569        270.728
177        263.788        269.619
178        263.788        268.575
179        257.747        266.383
180        254.806        264.025
181        254.391        260.871
182        251.751        258.247
183        251.751        255.573
184        249.354        253.815
185        246.573        252.792
186        246.039        252.507
187        246.039        252.032
188        243.018        252.904
189        243.018        250.593
190         242.86        248.987
191        240.913        248.528
192        233.612        246.719
193        229.143        248.279
194        229.143        244.237
195        227.124        243.806
196         226.33        242.946
197        225.243        241.617
198        222.845        239.475
199         222.43        235.438
200         222.43        233.462
201        220.806        231.062
202         219.34        228.659
203        215.614         225.69
204        215.614        223.067
205        215.614        225.573
206        215.614        225.799
207        214.084        231.775
208        213.061        235.318
209        213.061        232.848
210        213.061        232.107
211        213.061        233.235
212        211.963        238.385
213        211.204        240.578
214        211.204        226.755
215        210.611        223.213
216        209.852        214.979
217        209.394        211.395
218        208.508         210.73
219        207.156        210.074
220        207.156        209.347
221        205.341        208.385
222        205.341         207.57
223        205.341        206.808
224        204.519         206.21
225        202.526        205.711
226        202.399         204.98
227        201.704         204.18
228        199.513        203.334
229        199.513        202.445
230        199.513        201.536
231        199.513        200.714
232        196.483        200.282
233         196.23        199.738
234         196.23        198.663
235         196.23         197.71
236         196.23        197.088
237        194.972        196.588
238        194.972        196.442
239        194.972        195.939
240        194.467        195.587
241        192.956        195.271
242        192.956        194.446
243        192.956        193.845
244        192.299        193.272
245        189.599        193.079
246        189.599          192.7
247        189.599        192.283
248        189.599        191.684
249        189.599        191.446
250        188.943        194.253
251        188.943        191.489
252        188.943        190.806
253        188.692        189.638
254        188.692        189.911
255        188.692        188.965
256        188.692        188.805
257        188.692         188.79
258        188.692        188.785
259        188.382        188.824
260        188.382        188.755
261        188.382        188.625
262        182.095        188.518
263        182.095        188.078
264        173.504        187.437
265        173.504        186.385
266        166.645        183.092
267        166.645         179.18
268         166.44        173.973
269        162.284        169.051
270        162.284        167.236
271         160.52        164.976
272         160.52        163.563
273         160.52        162.071
274        159.587        161.369
275        159.587        161.032
276        158.028        160.262
277        158.028        159.566
278        158.028         158.79
279        158.028        158.522
280        158.028        158.564
281        158.028        158.712
282        158.028        158.517
283        158.028        158.812
284        157.071        158.701
285        157.071        158.581
286        157.071        158.158
287        156.879        157.787
288        152.399        157.591
289        152.399        156.654
290        152.399        155.291
291        152.399        154.372
292        152.399        153.721
293        152.399        153.612
294        152.399        153.868
295        152.399        153.538
296        152.399        153.633
297        152.176        153.711
298        149.987        153.367
299        149.463         152.35
300        146.608        151.219
301        146.608        149.725
302        146.608        148.456
303        146.083        147.679
304        146.083        147.093
305        146.083         146.62
306        146.083        146.285
307        146.083        146.251
308        146.083        146.245
309        146.083        146.264
310        146.083        146.385
311        146.083        146.653
312        146.083        146.554
313        146.083         146.52
314        146.083          146.6
315        146.083        146.541
316        144.805        146.507
317        143.458        146.236
318        143.458        145.531
319        142.179        144.775
320        142.179        143.678
321        142.179        142.909
322        142.179        142.632
323        142.179         142.55
324        140.661        142.566
325        140.661        142.296
326        139.322        141.946
327        137.774        141.114
328        136.256            140
329        136.256        138.664
330        136.137        137.521
331        136.137        137.123
332        134.743        136.601
333        134.743        136.148
334        134.624        135.734
335        134.026        135.342
336        134.026        134.817
337        134.026        134.489
338        134.026        134.322
339        132.779        134.254
340        132.181        134.061
341        131.996        133.456
342        131.561        132.748
343        131.398        132.224
344        131.398        131.834
345        131.398        131.639
346        131.168         131.53
347        129.427        131.444
348        129.427        131.238
349        129.427        130.767
350        129.427        130.255
351        129.427        130.144
352        129.427        130.084
353        129.427        130.064
354        129.427        130.022
355        129.427        129.988
356        127.608        129.972
357        127.608        129.644
358        125.946        128.831
359        125.946        128.283
360        123.449        127.367
361        123.449        126.447
362        121.576         125.57
363        121.576        124.496
364        121.294        123.441
365         120.81        122.544
366        119.124        121.966
367        118.359        121.124
368        118.359        120.423
369        118.359        119.479
370        118.359        119.045
371        117.977        118.656
372        117.977        118.473
373        117.977         118.26
374        117.977        118.123
375        117.977        118.116
376        117.977        118.097
377        117.977        118.107
378        117.977        118.112
379        117.977          118.1
380        117.977        118.101
381        117.977        118.087
382        117.977        118.106
383        117.977        118.139
384        117.977        118.189
385        117.977        118.101
386        117.977        118.296
387        115.909        118.401
388        115.909        117.993
389        115.909        117.377
390        115.063        116.777
391        114.781        116.293
392        114.781        115.509
393        114.746        115.161
394        113.857        114.877
395        112.858        114.715
396        112.858         114.33
397        112.858         113.79
398        112.858        113.332
399        112.858        113.166
400        112.858         113.15
401        111.264         113.21
402        111.264        113.255
403        110.561        113.948
404        110.561        113.352
405        110.561        112.279
406        110.561        112.381
407        110.561        111.994
408        109.938         111.29
409        109.342        110.835
410        109.342        110.148
411        109.342        109.826
412        109.184        109.768
413        109.184        109.721
414        108.588        109.487
415        108.588        109.167
416        108.588        108.958
417        108.588        108.855
418        108.588         108.79
419        108.588        108.812
420        108.588        108.775
421        108.588        108.837
422        108.588        108.862
423        108.588        108.942
424        108.588        109.254
425        108.588        109.099
426        108.588        109.363
427        108.588        109.338
428        108.588         109.55
429        108.588        109.873
430        108.588         109.27
431        108.588        109.515
432        108.588        108.952
433        108.588         109.11
434        108.588        109.209
435        108.588        109.397
436        108.588        108.968
437        108.588        108.816
438        108.588        109.051
439        107.634        109.549
440        107.634        109.351
441        107.634        108.403
442        107.634        108.097
443        107.634        108.003
444        107.634        108.021
445        107.634        107.964
446        107.634        107.933
447        107.634        107.976
448        107.634        107.958
449        107.634         108.05
450        107.634        107.935
451        107.634        107.915
452        107.634        107.946
453        107.634        107.923
454        107.362        108.047
455        107.362        107.834
456        107.362        107.598
457        107.362        107.491
458        107.362         107.47
459        106.836        107.456
460        106.836        107.373
461        106.836        107.149
462        106.836        107.039
463        106.836        106.991
464        106.836        106.993
465        106.836        107.021
466        106.836        106.983
467        106.836        107.029
468        106.836        107.129
469        106.836        107.033
470        106.836        107.915
471        106.836        107.943
472        106.836        107.707
473        106.836        109.742
474        106.836         110.99
475        106.836        109.365
476        106.836        108.933
477        106.836        109.109
478        106.836        110.148
479        106.041        110.162
480        106.041        108.814
481        106.041        107.874
482        106.041        106.885
483        106.041        106.885
484        106.041        106.713
485        106.041        106.768
486        106.041        107.783
487        106.041        107.317
488        106.041        107.559
489        106.041        106.833
490        106.041        107.074
491        106.041         107.07
492        106.041        107.024
493        106.041        107.531
494        106.041        107.349
495        106.041        107.107
496        106.041        107.953
497        106.041        107.932
498        106.041        107.085
499        106.041          107.4
500        106.041        107.553
501        96.1617        107.065
502        96.1617        104.826
503        96.1617         104.03
504        96.1617        101.878
505        96.1617        101.237
506        95.8925        99.4517
507        95.8925        98.2427
508        95.8925        98.3504
509        95.8925        97.3367
510        95.0293        97.7665
511        95.0293        96.5587
512        95.0293        95.8398
513        95.0293        95.4448
514        95.0293         95.594
515        95.0293         95.762
516        95.0293        95.6435
517        95.0293        95.7279
518        95.0293        95.7607
519        95.0293        95.5258
520        95.0293        95.7236
521        95.0293        95.9405
522        95.0293        95.9411
523        95.0293        96.1277
524        95.0293        95.8463
525         94.734        96.1132
526        92.3652        95.6519
527        92.3652        95.2674
528        92.3652        95.7696
529        92.3652        96.1941
530        92.3652        95.5716
531        92.3652        96.9387
532        92.3652        96.9224
533        92.3652        96.5476
534        92.3652        98.1719
535        92.3652        97.0612
536        91.2376        97.6107
537        91.2376        95.1811
538        91.2376        93.4411
539        91.2376        92.2515
540        91.2376        92.7398
541        91.2376        92.7535
542        91.2376        92.8225
543        91.2376        92.6714
544        91.2376        92.7279
545        91.2376        92.9212
546        91.2376        92.3947
547        91.2376        93.1178
548        91.2376        93.2792
549         90.996        93.4059
550         90.996        93.0313
551         90.996        92.4508
552         90.996        91.1876
553         90.996        91.1416
554         90.996        91.1668
555         90.996        91.2627
556         90.996        91.1981
557         90.996        91.4453
558         90.996        91.8797
559         90.996        91.8314
560         90.996        91.8572
561          89.75        92.2835
562          89.75        91.2704
563          89.75        90.6017
