#   STEP:  TEMPERATURE:
           0   -0.263985
           0   -0.318109
           0   -0.327479
           0   -0.419658
           0   -0.398128
           0   -0.380857
           0   -0.344244
           0   -0.412181
           0   -0.423201
           0   -0.318124
           0   -0.236049
           0   -0.337388
           0   -0.393678
           0   -0.425698
           0   -0.457655
           0   -0.425368
           0   -0.383756
           0   -0.368227
           0   -0.396652
           0   -0.431946
           0   -0.423061
           0   -0.438487
           0   -0.388677
           0   -0.406171
           0   -0.383093
           0   -0.375839
           0   -0.439309
           0   -0.481471
           0   -0.473266
           0   -0.394875
           0   -0.450138
           0   -0.443782
           0   -0.422205
           0   -0.462879
           0   -0.468808
           0   -0.428812
           0   -0.437926
           0   -0.445322
           0   -0.392046
           0   -0.379572
           0    -0.31047
           0   -0.363989
           0   -0.386246
           0   -0.479095
           0   -0.517544
           0   -0.522736
           0   -0.453118
           0   -0.445509
           0   -0.451072
           0   -0.440403
           0   -0.419778
           0   -0.427782
           0   -0.445532
           0   -0.344368
           0   -0.383009
           0   -0.440855
           0   -0.444355
           0   -0.348298
           0   -0.369995
           0   -0.386469
           0   -0.370178
           0    -0.44183
           0   -0.389218
           0   -0.430809
           0   -0.514353
           0   -0.497519
           0   -0.505662
           0   -0.493792
           0   -0.447913
           0   -0.423867
           0   -0.448388
           0   -0.444475
           0   -0.427688
           0   -0.412732
           0   -0.366012
           0   -0.427559
           0    -0.34699
           0   -0.359183
           0   -0.317341
           0   -0.323187
           0    -0.34268
           0   -0.346644
           0   -0.435471
           0   -0.404535
           0   -0.498212
           0   -0.568001
           0    -0.53471
           0   -0.527836
           0   -0.516467
           0   -0.471038
           0   -0.551729
           0   -0.557335
           0   -0.486066
           0   -0.423881
           0   -0.367089
           0   -0.359655
           0   -0.349039
           0   -0.394889
           0   -0.489887
           0   -0.481753
           0   -0.435383
           0   -0.409611
           0   -0.477543
           0   -0.399512
           0    -0.43981
           0   -0.455167
           0   -0.496053
           0   -0.439789
           0   -0.448443
           0   -0.421427
           0   -0.413508
           0   -0.381035
           0   -0.346645
           0   -0.374416
           0   -0.415124
           0   -0.401002
           0   -0.409175
           0   -0.366207
           0   -0.392087
           0   -0.460031
           0   -0.520022
           0   -0.527685
           0   -0.470106
           0   -0.518238
           0   -0.521304
           0   -0.453599
           0   -0.456013
           0    -0.39797
           0   -0.376547
           0   -0.374419
           0    -0.37057
           0   -0.373874
           0   -0.322469
           0   -0.366913
           0   -0.381233
           0   -0.422739
           0    -0.46415
