             Mu          Sigma        Energia    Err_Energia           TempPasso Metropolis
       0.760258       0.661578      -0.424012      0.0092275     0.00664502           2.51
       0.763008       0.663294       -0.45507     0.00630283     0.00644567           2.61
       0.764408       0.659626        -0.4438     0.00769067      0.0062523           2.61
       0.773943        0.65398      -0.434798     0.00897909     0.00606473           2.71
        0.77254       0.650014      -0.437404     0.00874184     0.00588278           2.51
       0.767579       0.653485      -0.459612      0.0066072      0.0057063           2.61
       0.770085       0.662522      -0.443485     0.00664448     0.00553511           2.61
       0.771881       0.659575      -0.437901     0.00720343     0.00536906           2.71
       0.767709       0.650799      -0.443745     0.00729537     0.00520799           2.61
       0.769145       0.649441      -0.444451     0.00779158     0.00505175           2.51
        0.76938       0.655059      -0.449064     0.00543539     0.00490019           2.61
       0.773797       0.653817      -0.454078     0.00655633     0.00475319           2.61
       0.769837       0.650805      -0.447255     0.00679403     0.00461059           2.71
       0.763132        0.64584      -0.451998     0.00629139     0.00447228           2.61
       0.763313       0.641133      -0.447745     0.00707555     0.00433811           2.61
        0.76193       0.645716      -0.444176     0.00655513     0.00420796           2.61
       0.760997       0.649202       -0.44686     0.00620193     0.00408173           2.61
       0.760685       0.644988      -0.454552     0.00560039     0.00395927           2.61
       0.761351       0.642399      -0.443142     0.00661746      0.0038405           2.71
       0.756009       0.646863      -0.451298     0.00679553     0.00372528           2.61
       0.751023       0.646754      -0.458207     0.00664214     0.00361352           2.61
       0.750702       0.644645      -0.453754     0.00570966     0.00350512           2.61
       0.753088       0.645054      -0.454854     0.00683258     0.00339996           2.61
       0.753999       0.646595      -0.451459     0.00721199     0.00329796           2.51
       0.751585       0.647779      -0.447931     0.00669632     0.00319902           2.61
       0.756181       0.649998      -0.440846     0.00917836     0.00310305           2.61
       0.755263       0.650857      -0.446807     0.00682038     0.00300996           2.61
       0.756182       0.651822      -0.453108     0.00695527     0.00291966           2.61
       0.755738       0.652513      -0.448926     0.00612662     0.00283207           2.61
       0.761702       0.642678      -0.455046     0.00702221     0.00274711           2.61
       0.762754        0.63979      -0.449848     0.00728833      0.0026647           2.51
       0.759083       0.640114      -0.453725     0.00582155     0.00258476           2.71
       0.759024       0.637704      -0.453552     0.00598878     0.00250721           2.61
       0.759039        0.63765      -0.465098     0.00617693       0.002432           2.61
       0.759039        0.63765      -0.465098     0.00617693     0.00235904           2.61
       0.759039        0.63765      -0.465098     0.00617693     0.00228827           2.61
       0.759039        0.63765      -0.465098     0.00617693     0.00221962           2.61
       0.759039        0.63765      -0.465098     0.00617693     0.00215303           2.61
       0.759039        0.63765      -0.465098     0.00617693     0.00208844           2.61
       0.759039        0.63765      -0.465098     0.00617693     0.00202579           2.61
