#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168     1.58359     1.47515   0.0116729
         169      1.6024     1.47591   0.0116281
         170     1.43167     1.47565   0.0115626
         171      1.5786     1.47625   0.0115106
         172     1.61823     1.47707   0.0114733
         173      1.5243     1.47735   0.0114102
         174     1.33358     1.47652   0.0113745
         175     1.80032     1.47837    0.011459
         176     1.59916     1.47906   0.0114144
         177     1.89486     1.48141   0.0115892
         178     1.42874     1.48111   0.0115278
         179     1.43308     1.48084   0.0114666
         180     1.45808     1.48071   0.0114036
         181     1.54731     1.48108   0.0113465
         182     1.41373     1.48071   0.0112902
         183     1.58759      1.4813   0.0112436
         184     1.36709     1.48068   0.0111996
         185     1.29905     1.47969    0.011182
         186     1.08566     1.47758   0.0113208
         187     1.20331     1.47611   0.0113549
         188     1.51912     1.47634   0.0112968
         189     1.73173     1.47769   0.0113175
         190     1.50533     1.47783   0.0112589
         191     1.57876     1.47836   0.0112123
         192     1.60329     1.47901   0.0111728
         193     1.67568     1.48003   0.0111613
         194     1.47053     1.47998   0.0111039
         195       1.378     1.47946   0.0110592
         196     1.47001     1.47941   0.0110029
         197     1.55083     1.47977    0.010953
         198     1.54931     1.48013   0.0109033
         199     1.49374     1.48019   0.0108488
         200     1.40093      1.4798   0.0108017
