#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.40962    -5.44756  0.00235122
         153    -5.43529    -5.44748  0.00233722
         154    -5.39037    -5.44711  0.00235127
         155    -5.46973    -5.44725  0.00234063
         156    -5.47162    -5.44741  0.00233083
         157    -5.47845    -5.44761  0.00232436
         158    -5.48258    -5.44783  0.00232016
         159    -5.46779    -5.44795  0.00230896
         160    -5.45655    -5.44801  0.00229516
         161    -5.44845    -5.44801   0.0022809
         162    -5.44729      -5.448  0.00226683
         163    -5.44635    -5.44799  0.00225294
         164    -5.47182    -5.44814  0.00224389
         165     -5.4371    -5.44807  0.00223129
         166    -5.44131    -5.44803  0.00221822
         167    -5.44434    -5.44801  0.00220504
         168    -5.44516    -5.44799  0.00219198
         169    -5.42542    -5.44786  0.00218308
         170    -5.48057    -5.44805   0.0021787
         171    -5.44897    -5.44806  0.00216597
         172    -5.43062    -5.44796  0.00215574
         173    -5.44843    -5.44796  0.00214328
         174     -5.4649    -5.44806  0.00213318
         175    -5.43625    -5.44799  0.00212205
         176    -5.47445    -5.44814  0.00211532
         177    -5.39388    -5.44783  0.00212546
         178    -5.47325    -5.44797  0.00211831
         179    -5.44898    -5.44798  0.00210648
         180    -5.44339    -5.44796  0.00209493
         181    -5.43627    -5.44789  0.00208435
         182    -5.44549    -5.44788  0.00207294
         183     -5.4322    -5.44779  0.00206338
         184    -5.46769     -5.4479    0.002055
         185    -5.47833    -5.44806  0.00205047
         186    -5.53749    -5.44855  0.00209505
         187    -5.50948    -5.44887  0.00210904
         188    -5.44141    -5.44883  0.00209819
         189    -5.40859    -5.44862  0.00209787
         190    -5.45403    -5.44865  0.00208702
         191    -5.43564    -5.44858  0.00207721
         192    -5.42924    -5.44848  0.00206883
         193    -5.44153    -5.44844  0.00205842
         194    -5.42971    -5.44835  0.00205007
         195    -5.47636    -5.44849  0.00204459
         196    -5.43688    -5.44843  0.00203501
         197    -5.43541    -5.44836  0.00202576
         198    -5.44564    -5.44835  0.00201557
         199    -5.46095    -5.44841  0.00200644
         200    -5.46947    -5.44852  0.00199917
