#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152    -5.47697    -5.46432  0.00147178
         153    -5.48044    -5.46442  0.00146593
         154    -5.44243    -5.46428  0.00146335
         155    -5.45016    -5.46419  0.00145674
         156    -5.45378    -5.46412  0.00144893
         157    -5.47347    -5.46418  0.00144092
         158    -5.46247    -5.46417  0.00143184
         159     -5.4482    -5.46407  0.00142636
         160    -5.42707    -5.46384  0.00143607
         161      -5.448    -5.46374  0.00143051
         162    -5.45401    -5.46368  0.00142294
         163    -5.46005    -5.46366  0.00141439
         164    -5.47534    -5.46373  0.00140756
         165    -5.47799    -5.46381  0.00140168
         166    -5.45948    -5.46379  0.00139347
         167    -5.47016    -5.46383  0.00138565
         168    -5.46313    -5.46382  0.00137741
         169    -5.46867    -5.46385  0.00136956
         170    -5.47574    -5.46392  0.00136329
         171     -5.4869    -5.46405  0.00136192
         172      -5.467    -5.46407  0.00135411
         173    -5.46208    -5.46406  0.00134633
         174    -5.47398    -5.46412   0.0013398
         175    -5.45875    -5.46409   0.0013325
         176    -5.46263    -5.46408  0.00132495
         177     -5.4511    -5.46401   0.0013195
         178      -5.467    -5.46402  0.00131219
         179     -5.4694    -5.46405   0.0013052
         180    -5.46996    -5.46408  0.00129836
         181    -5.46401    -5.46408  0.00129119
         182     -5.4715    -5.46413  0.00128474
         183    -5.45562    -5.46408  0.00127856
         184    -5.43887    -5.46394  0.00127893
         185     -5.4807    -5.46403  0.00127522
         186    -5.49108    -5.46418  0.00127663
         187    -5.45258    -5.46412  0.00127131
         188      -5.467    -5.46413  0.00126464
         189    -5.47547    -5.46419  0.00125937
         190     -5.4646    -5.46419  0.00125274
         191    -5.46004    -5.46417  0.00124637
         192    -5.48138    -5.46426   0.0012431
         193    -5.45024    -5.46419  0.00123877
         194    -5.46171    -5.46418  0.00123245
         195    -5.45266    -5.46412  0.00122755
         196    -5.45535    -5.46407   0.0012221
         197    -5.48145    -5.46416  0.00121908
         198     -5.4665    -5.46417  0.00121298
         199    -5.47046     -5.4642  0.00120729
         200    -5.47238    -5.46424  0.00120195
