#     Temperature:    Magnetization:         ERROR:
               0.5         0.0235382         0.0179073
               0.6       -0.00936826        0.00765009
               0.7       -0.00590593         0.0028082
               0.8       -0.00470487        0.00218284
               0.9       -0.00064165        0.00149373
                 1       -0.00035148        0.00080106
               1.1       -0.00049519       0.000705641
               1.2         -4.76e-06       0.000577198
               1.3        0.00047633       0.000515769
               1.4       -0.00100241       0.000536346
               1.5       -0.00028842       0.000453011
               1.6       -0.00013192       0.000409442
               1.7        -5.049e-05       0.000307719
               1.8        0.00050286       0.000306227
               1.9        0.00032243       0.000313696
                 2        0.00069696       0.000275445
