#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         141   0.0488413   0.0490282 3.07979e-05
         142   0.0489729   0.0490278 3.05835e-05
         143   0.0485806   0.0490247 3.05291e-05
         144   0.0493697   0.0490271 3.04109e-05
         145   0.0487386   0.0490251 3.02662e-05
         146   0.0491989   0.0490263 3.00822e-05
         147   0.0490509   0.0490265 2.98781e-05
         148   0.0490534   0.0490267 2.96767e-05
         149   0.0492541   0.0490282 2.95168e-05
         150   0.0490278   0.0490282   2.932e-05
         151   0.0487656   0.0490264 2.91773e-05
         152   0.0491493   0.0490273 2.89966e-05
         153   0.0485703   0.0490243 2.89604e-05
         154   0.0487925   0.0490228 2.88115e-05
         155   0.0490149   0.0490227 2.86256e-05
         156   0.0492394   0.0490241 2.84758e-05
         157   0.0492228   0.0490254 2.83226e-05
         158   0.0485571   0.0490224  2.8298e-05
         159   0.0498174   0.0490274 2.85583e-05
         160   0.0494116   0.0490298 2.84806e-05
         161   0.0487689   0.0490282 2.83497e-05
         162   0.0492542   0.0490296  2.8209e-05
         163   0.0488836   0.0490287 2.80502e-05
         164   0.0488603   0.0490277 2.78979e-05
         165   0.0490172   0.0490276 2.77289e-05
         166   0.0495041   0.0490305 2.77101e-05
         167    0.048976   0.0490301 2.75461e-05
         168   0.0491321   0.0490307 2.73888e-05
         169   0.0487095   0.0490288 2.72926e-05
         170   0.0488262   0.0490277 2.71581e-05
         171   0.0486347   0.0490254 2.70963e-05
         172   0.0485751   0.0490227 2.70649e-05
         173   0.0487992   0.0490214 2.69393e-05
         174   0.0495417   0.0490244 2.69499e-05
         175   0.0488502   0.0490234 2.68143e-05
         176   0.0492371   0.0490247 2.66894e-05
         177   0.0490599   0.0490249 2.65394e-05
         178     0.04868   0.0490229 2.64609e-05
         179    0.048652   0.0490208 2.63941e-05
         180    0.048846   0.0490199 2.62653e-05
         181    0.048025   0.0490144 2.66891e-05
         182   0.0491918   0.0490154 2.65602e-05
         183   0.0493727   0.0490173 2.64868e-05
         184   0.0486689   0.0490154 2.64104e-05
         185   0.0490229   0.0490155 2.62677e-05
         186   0.0489504   0.0490151 2.61288e-05
         187    0.048552   0.0490126 2.61061e-05
         188   0.0487974   0.0490115 2.59924e-05
         189   0.0490171   0.0490115 2.58549e-05
         190   0.0483847   0.0490082 2.59284e-05
         191   0.0496492   0.0490116  2.6009e-05
         192   0.0486159   0.0490095  2.5955e-05
         193   0.0491594   0.0490103 2.58322e-05
         194   0.0490036   0.0490102  2.5699e-05
         195   0.0488363   0.0490094 2.55827e-05
         196   0.0489594   0.0490091 2.54535e-05
         197    0.048842   0.0490083 2.53384e-05
         198   0.0491639    0.049009 2.52226e-05
         199    0.049217   0.0490101 2.51175e-05
         200   0.0493418   0.0490117 2.50466e-05
