#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         152   -0.348906   -0.395324  0.00346641
         153   -0.386122   -0.395264  0.00344427
         154   -0.444364   -0.395582  0.00343663
         155    -0.44873   -0.395925  0.00343153
         156   -0.453048   -0.396291  0.00342901
         157   -0.446418   -0.396611    0.003422
         158   -0.393148   -0.396589  0.00340041
         159    -0.37821   -0.396473  0.00338099
         160   -0.366537   -0.396286  0.00336503
         161   -0.391473   -0.396256  0.00334426
         162   -0.426273   -0.396441  0.00332875
         163   -0.395773   -0.396437  0.00330833
         164   -0.400095    -0.39646  0.00328823
         165   -0.364652   -0.396267  0.00327395
         166   -0.377812   -0.396156  0.00325611
         167    -0.40726   -0.396222   0.0032373
         168   -0.363737   -0.396029   0.0032238
         169    -0.35719   -0.395799   0.0032129
         170   -0.337763   -0.395458  0.00321209
         171   -0.314429   -0.394984  0.00322807
         172    -0.30653    -0.39447     0.00325
         173   -0.319003   -0.394033  0.00326036
         174   -0.362721   -0.393853  0.00324659
         175   -0.419757   -0.394001  0.00323141
         176   -0.453043   -0.394337  0.00323041
         177   -0.488061   -0.394866  0.00325527
         178   -0.523694    -0.39559  0.00331646
         179   -0.472669   -0.396021  0.00332577
         180    -0.44894   -0.396315  0.00332027
         181   -0.436613   -0.396537  0.00330938
         182   -0.465718   -0.396917  0.00331295
         183     -0.3941   -0.396902  0.00329489
         184   -0.382836   -0.396826  0.00327787
         185   -0.434981   -0.397032  0.00326663
         186    -0.46066   -0.397374  0.00326693
         187   -0.438554   -0.397594  0.00325687
         188   -0.403199   -0.397624  0.00323969
         189   -0.378739   -0.397524  0.00322408
         190   -0.374686   -0.397404  0.00320936
         191   -0.432486   -0.397588   0.0031978
         192   -0.436644   -0.397791  0.00318761
         193   -0.471588   -0.398173  0.00319395
         194   -0.407146    -0.39822  0.00317782
         195   -0.420083   -0.398332   0.0031635
         196   -0.458827    -0.39864  0.00316238
         197   -0.453501   -0.398919  0.00315857
         198      -0.477   -0.399313  0.00316713
         199    -0.49373   -0.399788  0.00318656
         200   -0.469871   -0.400138  0.00318984
