#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         168     7.53102     7.59123  0.00566126
         169     7.57753     7.59115  0.00562834
         170     7.70711     7.59183  0.00563642
         171     7.53957     7.59153  0.00561173
         172     7.61118     7.59164  0.00558027
         173     7.54158     7.59135  0.00555551
         174     7.49226     7.59078   0.0055527
         175     7.73123     7.59158  0.00557867
         176     7.67212     7.59204   0.0055657
         177     7.66154     7.59243  0.00554809
         178     7.53296      7.5921  0.00552697
         179     7.66786     7.59252  0.00551228
         180     7.56653     7.59238  0.00548355
         181     7.50015     7.59187  0.00547688
         182     7.56684     7.59173  0.00544851
         183      7.7316      7.5925  0.00547208
         184     7.61822     7.59264  0.00544413
         185     7.67861      7.5931   0.0054345
         186     7.71256     7.59374   0.0054431
         187     7.62439     7.59391  0.00541646
         188     7.59352      7.5939  0.00538765
         189     7.56143     7.59373  0.00536188
         190     7.65867     7.59407  0.00534454
         191     7.67855     7.59452  0.00533483
         192      7.6059     7.59458  0.00530737
         193     7.70882     7.59517  0.00531278
         194     7.41187     7.59422  0.00536875
         195     7.69156     7.59472  0.00536437
         196     7.59127      7.5947  0.00533703
         197     7.56187     7.59454  0.00531255
         198     7.49604     7.59404  0.00530895
         199     7.68812     7.59451  0.00530328
         200     7.58385     7.59446  0.00527703
