#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         151    -7.56493    -7.54701  0.00107604
         152    -7.53018     -7.5469  0.00107465
         153    -7.56546    -7.54702  0.00107445
         154    -7.56558    -7.54714  0.00107421
         155    -7.54118     -7.5471  0.00106797
         156      -7.537    -7.54704  0.00106309
         157    -7.53594    -7.54697  0.00105866
         158    -7.56125    -7.54706  0.00105581
         159    -7.54735    -7.54706  0.00104917
         160    -7.51519    -7.54686  0.00106136
         161    -7.55069    -7.54688  0.00105503
         162    -7.53381     -7.5468   0.0010516
         163    -7.53918    -7.54676  0.00104619
         164    -7.54237    -7.54673  0.00104015
         165    -7.54504    -7.54672   0.0010339
         166    -7.55676    -7.54678  0.00102944
         167    -7.57345    -7.54694  0.00103559
         168    -7.55852    -7.54701  0.00103172
         169    -7.54984    -7.54703  0.00102575
         170    -7.52623     -7.5469  0.00102698
         171    -7.55632    -7.54696  0.00102245
         172    -7.54393    -7.54694  0.00101666
         173    -7.55526    -7.54699  0.00101191
         174    -7.56409    -7.54709  0.00101086
         175    -7.52278    -7.54695  0.00101458
         176    -7.53194    -7.54686  0.00101239
         177    -7.53455    -7.54679  0.00100906
         178    -7.55911    -7.54686  0.00100576
         179    -7.53284    -7.54678  0.00100319
         180    -7.55101    -7.54681 0.000997891
         181    -7.56342     -7.5469 0.000996591
         182    -7.55023    -7.54692 0.000991283
         183    -7.52176    -7.54678 0.000995353
         184     -7.5411    -7.54675 0.000990422
         185    -7.53077    -7.54666 0.000988829
         186    -7.52452    -7.54654 0.000990651
         187    -7.54011    -7.54651 0.000985951
         188    -7.54777    -7.54652 0.000980729
         189    -7.55127    -7.54654 0.000975863
         190    -7.53413    -7.54648 0.000972912
         191    -7.53121     -7.5464 0.000971096
         192    -7.54374    -7.54638 0.000966137
         193    -7.52654    -7.54628 0.000966588
         194    -7.57922    -7.54645 0.000976408
         195    -7.52919    -7.54636 0.000975407
         196    -7.54562    -7.54636 0.000970437
         197    -7.55157    -7.54638 0.000965872
         198     -7.5643    -7.54647 0.000965222
         199    -7.52878    -7.54639 0.000964458
         200    -7.54856     -7.5464 0.000959697
