#   BLOCK:  TEMPERATURE:
           0       1.545
           0     1.54486
           0     1.54442
           0      1.5437
           0      1.5427
           0     1.54141
           0     1.53983
           0     1.53797
           0     1.53583
           0      1.5334
           0     1.53069
           0      1.5277
           0     1.52444
           0      1.5209
           0     1.51708
           0     1.51299
           0     1.50863
           0     1.50399
           0     1.49908
           0      1.4939
           0     1.48845
           0     1.48274
           0     1.47676
           0     1.47051
           0       1.464
           0     1.45722
           0     1.45018
           0     1.44287
           0     1.43531
           0     1.42749
           0     1.41941
           0     1.41107
           0     1.40249
           0     1.39365
           0     1.38455
           0     1.37522
           0     1.36563
           0      1.3558
           0     1.34574
           0     1.33543
           0      1.3249
           0     1.31413
           0     1.30314
           0     1.29193
           0      1.2805
           0     1.26885
           0       1.257
           0     1.24494
           0     1.23269
           0     1.22025
           0     1.20761
           0      1.1948
           0     1.18182
           0     1.16866
           0     1.15535
           0     1.14189
           0     1.12828
           0     1.11453
           0     1.10066
           0     1.08667
           0     1.07256
           0     1.05836
           0     1.04406
           0     1.02969
           0     1.01524
           0     1.00073
           0    0.986173
           0    0.971577
           0    0.956954
           0    0.942317
           0    0.927677
           0    0.913046
           0    0.898437
           0    0.883861
           0    0.869333
           0    0.854864
           0    0.840467
           0    0.826155
           0    0.811942
           0    0.797839
           0     0.78386
           0    0.770018
           0    0.756325
           0    0.742794
           0    0.729438
           0    0.716268
           0    0.703298
           0    0.690538
           0    0.678001
           0    0.665697
           0    0.653636
           0    0.641828
           0    0.630283
           0    0.619011
           0     0.60802
           0    0.597318
           0    0.586914
           0    0.576814
           0    0.567025
           0    0.557554
           0    0.548406
           0    0.539587
           0      0.5311
           0    0.522948
           0    0.515137
           0    0.507668
           0    0.500542
           0    0.493762
           0    0.487327
           0    0.481238
           0    0.475495
           0    0.470097
           0    0.465041
           0    0.460328
           0    0.455953
           0    0.451915
           0    0.448208
           0     0.44483
           0    0.441776
           0    0.439041
           0     0.43662
           0    0.434508
           0    0.432699
           0    0.431186
           0    0.429963
           0    0.429023
           0    0.428358
           0    0.427962
           0    0.427827
           0    0.427944
           0    0.428306
           0    0.428905
           0    0.429732
           0     0.43078
           0    0.432039
           0    0.433502
           0    0.435158
           0       0.437
           0    0.439019
           0    0.441206
           0    0.443553
           0    0.446051
           0    0.448691
           0    0.451466
           0    0.454365
           0     0.45738
           0    0.460504
           0    0.463728
           0    0.467044
           0    0.470443
           0    0.473919
           0    0.477462
           0    0.481067
           0    0.484725
           0    0.488429
           0    0.492173
           0    0.495949
           0    0.499751
           0    0.503572
           0    0.507406
           0    0.511247
