#   STEP:  TEMPERATURE:
           0    -5.54957
           0    -5.51048
           0    -5.66504
           0    -5.56611
           0    -5.55481
           0    -5.37375
           0    -5.50815
           0    -5.60996
           0    -5.50117
           0    -5.38537
           0    -5.46361
           0    -5.50985
           0    -5.52272
           0    -5.52787
           0    -5.46397
           0    -5.42011
           0    -5.44559
           0    -5.37105
           0    -5.37685
           0    -5.41738
           0     -5.3513
           0    -5.38229
           0    -5.43409
           0    -5.46131
           0    -5.52955
           0     -5.5213
           0    -5.39429
           0    -5.55075
           0    -5.48561
           0    -5.50777
           0    -5.52386
           0    -5.50124
           0    -5.46161
           0     -5.4144
           0    -5.44584
           0    -5.52604
           0    -5.54797
           0    -5.57817
           0    -5.62232
           0    -5.61978
           0    -5.59242
           0    -5.52169
           0    -5.42553
           0    -5.41758
           0    -5.44482
           0    -5.39359
           0    -5.51165
           0    -5.53479
           0    -5.51897
           0    -5.59134
           0    -5.51034
           0    -5.50862
           0    -5.50788
           0    -5.47465
           0     -5.5464
           0    -5.47393
           0     -5.4991
           0    -5.43204
           0    -5.44116
           0    -5.53132
           0    -5.50534
           0    -5.48041
           0    -5.52837
           0    -5.66039
           0    -5.53143
           0    -5.48856
           0    -5.60338
           0    -5.56961
           0    -5.55058
           0    -5.48835
           0    -5.47388
           0    -5.46295
           0    -5.47512
           0    -5.54004
           0    -5.51632
           0    -5.42328
           0    -5.36903
           0    -5.36695
           0    -5.33778
           0    -5.41757
           0    -5.43861
           0    -5.36808
           0    -5.38704
           0    -5.41112
           0    -5.38251
           0    -5.41572
           0    -5.33272
           0    -5.38516
           0    -5.43594
           0    -5.37225
           0    -5.51969
           0    -5.45972
           0    -5.50221
           0    -5.43335
           0    -5.47665
           0    -5.54323
           0    -5.46794
           0    -5.56366
           0    -5.54034
           0    -5.55257
           0    -5.51035
           0     -5.5841
           0    -5.66611
           0    -5.61562
           0    -5.53418
           0    -5.51199
           0    -5.51023
           0    -5.39172
           0    -5.38998
           0    -5.56049
           0    -5.49412
           0    -5.57232
           0    -5.47748
           0    -5.52593
           0    -5.49171
           0     -5.5134
           0    -5.48257
           0     -5.4366
           0    -5.39702
           0     -5.4447
           0    -5.42696
           0    -5.37847
           0    -5.36072
           0    -5.35291
           0     -5.3935
           0    -5.48124
           0    -5.48888
           0    -5.49425
           0    -5.42647
           0    -5.38933
           0       -5.36
           0    -5.30299
           0    -5.30556
           0    -5.31124
           0    -5.42309
           0    -5.45318
           0    -5.40932
           0    -5.42438
           0    -5.35352
           0    -5.38837
           0    -5.36139
           0    -5.30253
           0    -5.41177
           0    -5.46106
           0    -5.45278
           0    -5.46892
           0    -5.55587
           0    -5.44302
           0    -5.45253
           0    -5.43609
           0    -5.47219
           0      -5.473
           0    -5.45414
           0    -5.55126
           0    -5.53319
           0    -5.51472
           0    -5.57016
           0    -5.54414
           0    -5.52755
           0    -5.48851
           0     -5.4118
           0    -5.38487
           0    -5.40545
           0    -5.52334
           0    -5.58066
           0    -5.50739
           0    -5.44593
           0    -5.45746
           0    -5.53842
           0    -5.49056
           0    -5.42123
           0    -5.43721
           0    -5.48701
           0    -5.44382
           0    -5.27166
           0    -5.35618
           0    -5.40313
           0    -5.31688
           0    -5.44434
           0     -5.4956
           0    -5.57014
           0     -5.5487
           0    -5.55351
           0    -5.57602
           0    -5.57737
           0    -5.53569
           0    -5.56635
           0    -5.63291
           0    -5.50576
           0    -5.43905
           0     -5.4953
           0    -5.53263
           0     -5.6287
           0    -5.55009
           0    -5.55881
           0    -5.54951
           0    -5.54212
           0    -5.55304
           0    -5.50056
           0    -5.47595
           0    -5.53583
           0    -5.61426
           0    -5.43026
           0    -5.33361
           0    -5.41954
           0    -5.38614
           0    -5.41634
           0    -5.47427
           0    -5.44074
           0     -5.5505
           0     -5.4919
           0    -5.51344
           0    -5.58657
           0    -5.56697
           0    -5.58196
           0    -5.69396
           0    -5.68451
           0    -5.64079
           0     -5.6734
           0    -5.57057
           0    -5.55789
           0    -5.51126
           0    -5.60592
           0    -5.59147
           0    -5.50354
           0    -5.54597
           0    -5.54828
           0     -5.6586
           0    -5.61051
           0    -5.61468
           0    -5.58912
           0     -5.6775
           0    -5.59603
           0     -5.6148
           0    -5.47912
           0    -5.52366
           0    -5.51212
           0    -5.58103
           0    -5.51608
           0    -5.49708
           0    -5.55363
           0    -5.42835
           0    -5.44052
           0    -5.46326
           0     -5.4364
           0    -5.45549
           0    -5.49806
           0    -5.52616
           0    -5.39513
           0    -5.43627
           0    -5.42821
           0    -5.49771
           0    -5.47789
           0    -5.55428
           0    -5.58777
           0    -5.52599
           0    -5.45664
           0    -5.52195
           0    -5.61866
           0    -5.59197
           0    -5.49999
           0    -5.54538
           0    -5.57357
           0    -5.44135
           0    -5.53396
           0    -5.49242
           0    -5.36226
           0    -5.33359
           0    -5.42107
           0    -5.50835
           0    -5.45796
           0    -5.46189
           0    -5.57939
           0     -5.5377
           0    -5.51425
           0    -5.48842
           0    -5.43173
           0    -5.39839
           0    -5.53563
           0    -5.59358
           0    -5.56707
           0    -5.55298
           0    -5.63964
           0    -5.64511
           0    -5.54612
           0    -5.52094
           0    -5.52283
           0    -5.53313
           0    -5.56575
           0     -5.6127
