#   BLOCK:  TEMPERATURE:
           0    0.760606
           0    0.762646
           0    0.764747
           0    0.766902
           0    0.769107
           0    0.771358
           0    0.773648
           0    0.775973
           0    0.778327
           0    0.780703
           0    0.783097
           0    0.785501
           0    0.787912
           0    0.790325
           0    0.792732
           0    0.795129
           0     0.79751
           0    0.799871
           0    0.802206
           0    0.804509
           0    0.806776
           0    0.809002
           0    0.811183
           0    0.813313
           0     0.81539
           0    0.817409
           0    0.819366
           0    0.821258
           0    0.823082
           0    0.824835
           0    0.826514
           0    0.828116
           0    0.829637
           0    0.831076
           0    0.832431
           0    0.833702
           0    0.834885
           0    0.835979
           0    0.836983
           0    0.837898
           0    0.838724
           0    0.839459
           0    0.840103
           0    0.840659
           0    0.841126
           0    0.841504
           0    0.841794
           0    0.841996
           0    0.842114
           0    0.842149
           0    0.842105
           0     0.84198
           0    0.841778
           0      0.8415
           0     0.84115
           0     0.84073
           0    0.840244
           0    0.839695
           0    0.839087
           0    0.838423
           0    0.837707
           0    0.836942
           0    0.836133
           0    0.835284
           0      0.8344
           0    0.833482
           0    0.832536
           0    0.831564
           0    0.830573
           0    0.829565
           0    0.828545
           0    0.827517
           0    0.826485
           0    0.825452
           0    0.824423
           0    0.823401
           0    0.822389
           0    0.821392
           0    0.820413
           0    0.819454
           0    0.818519
           0    0.817612
           0    0.816733
           0    0.815885
           0    0.815072
           0    0.814295
           0    0.813557
           0    0.812858
           0    0.812201
           0    0.811587
           0    0.811017
           0    0.810493
           0    0.810015
           0    0.809584
           0    0.809201
           0    0.808866
           0     0.80858
           0    0.808343
           0    0.808154
           0    0.808014
           0    0.807923
           0     0.80788
           0    0.807885
           0    0.807938
           0    0.808039
           0    0.808186
           0     0.80838
           0    0.808619
           0    0.808903
           0    0.809233
           0    0.809606
           0    0.810023
           0    0.810483
           0    0.810985
           0    0.811529
           0    0.812114
           0     0.81274
           0    0.813406
           0    0.814111
           0    0.814855
           0    0.815637
           0    0.816457
           0    0.817315
           0    0.818209
           0    0.819138
           0    0.820102
           0    0.821099
           0     0.82213
           0    0.823195
           0    0.824291
           0    0.825419
           0    0.826576
           0    0.827763
           0    0.828978
           0    0.830219
           0    0.831486
           0    0.832776
           0    0.834088
           0    0.835422
           0    0.836776
           0    0.838148
           0    0.839537
           0    0.840941
           0    0.842358
           0    0.843786
           0    0.845223
           0    0.846668
           0    0.848117
           0    0.849568
           0    0.851019
           0    0.852469
           0    0.853914
           0    0.855352
           0    0.856782
           0    0.858201
           0    0.859607
           0    0.860997
           0     0.86237
           0    0.863724
           0    0.865056
           0    0.866365
           0    0.867647
           0    0.868901
           0    0.870125
           0    0.871316
           0    0.872474
           0    0.873597
           0    0.874683
           0    0.875729
           0    0.876736
           0      0.8777
           0     0.87862
           0    0.879497
           0    0.880328
           0    0.881113
           0     0.88185
           0    0.882541
           0    0.883183
           0    0.883776
           0    0.884318
           0     0.88481
           0     0.88525
           0    0.885639
           0    0.885975
           0    0.886259
           0    0.886491
           0    0.886672
           0      0.8868
           0    0.886876
           0    0.886899
           0     0.88687
           0    0.886789
           0    0.886656
           0    0.886471
           0    0.886233
           0    0.885944
           0    0.885603
           0    0.885212
           0    0.884771
           0     0.88428
           0     0.88374
           0     0.88315
           0    0.882512
           0    0.881826
           0    0.881093
           0    0.880314
           0    0.879489
           0    0.878619
           0    0.877705
           0    0.876747
           0    0.875746
           0    0.874701
           0    0.873615
           0    0.872486
           0    0.871314
           0    0.870102
           0    0.868848
           0    0.867554
           0    0.866219
           0    0.864845
           0    0.863433
           0    0.861983
           0    0.860495
           0    0.858971
           0     0.85741
           0    0.855812
           0    0.854179
           0    0.852512
           0     0.85081
           0    0.849075
           0    0.847306
           0    0.845502
           0    0.843666
           0    0.841797
           0    0.839897
           0    0.837965
           0    0.836004
           0    0.834013
           0    0.831994
           0    0.829946
           0    0.827872
           0    0.825771
           0    0.823646
           0    0.821498
           0    0.819326
           0    0.817133
           0     0.81492
           0    0.812686
           0    0.810434
           0    0.808166
           0    0.805883
           0    0.803587
           0    0.801277
           0    0.798957
           0    0.796629
           0    0.794295
           0    0.791957
           0    0.789616
           0    0.787275
           0    0.784934
           0    0.782596
           0    0.780262
           0    0.777934
           0    0.775614
           0    0.773304
           0    0.771008
           0    0.768727
           0    0.766462
           0    0.764216
           0    0.761992
           0     0.75979
           0    0.757614
           0    0.755465
           0    0.753345
           0    0.751255
           0    0.749198
           0    0.747175
           0    0.745187
           0    0.743237
           0    0.741327
           0    0.739456
           0    0.737627
           0    0.735841
           0      0.7341
           0    0.732406
           0    0.730759
           0    0.729161
           0    0.727612
           0    0.726113
           0    0.724666
           0     0.72327
           0    0.721929
           0    0.720641
           0    0.719408
           0     0.71823
           0    0.717108
           0     0.71604
           0    0.715028
           0    0.714072
           0    0.713172
           0     0.71233
           0    0.711545
           0    0.710817
           0    0.710147
           0    0.709533
           0    0.708976
           0    0.708475
           0    0.708029
