#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168    0.801648    0.801012 0.000383381
         169    0.802115    0.801018 0.000381168
         170      0.7944    0.800979 0.000380908
         171    0.806552    0.801012 0.000380072
         172     0.80349    0.801026 0.000378136
         173    0.800025     0.80102 0.000375994
         174    0.801039    0.801021 0.000373833
         175    0.804547    0.801041  0.00037224
         176    0.806742    0.801073 0.000371532
         177    0.797889    0.801055 0.000369868
         178    0.802438    0.801063 0.000367871
         179    0.798241    0.801047 0.000366154
         180    0.801509     0.80105 0.000364129
         181    0.804767     0.80107 0.000362696
         182    0.802118    0.801076 0.000360749
         183    0.804423    0.801094 0.000359241
         184    0.802058      0.8011 0.000357326
         185      0.7996    0.801091 0.000355487
         186    0.793808    0.801052 0.000355726
         187    0.804872    0.801073 0.000354409
         188    0.801331    0.801074 0.000352527
         189    0.794669     0.80104 0.000352287
         190    0.802941     0.80105 0.000350575
         191    0.796279    0.801025 0.000349628
         192    0.804627    0.801044  0.00034831
         193    0.800309     0.80104 0.000346526
         194    0.807778    0.801075 0.000346476
         195    0.793991    0.801039 0.000346598
         196    0.803997    0.801054 0.000345158
         197    0.806728    0.801082 0.000344606
         198    0.798078    0.801067   0.0003432
         199    0.804031    0.801082 0.000341798
         200    0.805012    0.801102 0.000340653
