#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         167     1.19088     1.20151 0.000578486
         168     1.20247     1.20152 0.000575071
         169     1.20317     1.20153 0.000571751
         170      1.1916     1.20147 0.000571362
         171     1.20983     1.20152 0.000570108
         172     1.20524     1.20154 0.000567204
         173     1.20004     1.20153 0.000563991
         174     1.20156     1.20153  0.00056075
         175     1.20682     1.20156  0.00055836
         176     1.21011     1.20161 0.000557297
         177     1.19683     1.20158 0.000554802
         178     1.20366     1.20159 0.000551807
         179     1.19736     1.20157 0.000549231
         180     1.20226     1.20157 0.000546193
         181     1.20715     1.20161 0.000544044
         182     1.20318     1.20161 0.000541123
         183     1.20663     1.20164 0.000538861
         184     1.20309     1.20165  0.00053599
         185      1.1994     1.20164  0.00053323
         186     1.19071     1.20158 0.000533588
         187     1.20731     1.20161 0.000531614
         188       1.202     1.20161  0.00052879
         189       1.192     1.20156  0.00052843
         190     1.20441     1.20158 0.000525862
         191     1.19442     1.20154 0.000524442
         192     1.20694     1.20157 0.000522465
         193     1.20046     1.20156 0.000519789
         194     1.21167     1.20161 0.000519714
         195     1.19099     1.20156 0.000519898
         196       1.206     1.20158 0.000517738
         197     1.21009     1.20162 0.000516909
         198     1.19712      1.2016 0.000514799
         199     1.20605     1.20162 0.000512697
         200     1.20752     1.20165  0.00051098
