#   STEP:  TEMPERATURE:
           0    -7.42119
           0    -7.42321
           0    -7.42525
           0    -7.42764
           0    -7.42972
           0    -7.43247
           0    -7.43459
           0    -7.43705
           0    -7.43887
           0    -7.44103
           0    -7.44351
           0    -7.44504
           0    -7.44689
           0    -7.44939
           0    -7.45189
           0    -7.45406
           0    -7.45527
           0    -7.45711
           0    -7.45798
           0    -7.46046
           0    -7.46229
           0    -7.46443
           0    -7.46623
           0    -7.46866
           0    -7.47108
           0    -7.47316
           0    -7.47489
           0    -7.47757
           0    -7.47927
           0    -7.48158
           0    -7.48354
           0    -7.48516
           0    -7.48642
           0    -7.48863
           0    -7.49113
           0    -7.49262
           0    -7.49506
           0    -7.49616
           0    -7.49788
           0    -7.49957
           0    -7.50121
           0    -7.50282
           0    -7.50471
           0    -7.50688
           0    -7.50805
           0    -7.50949
           0    -7.51089
           0    -7.51257
           0    -7.51356
           0    -7.51482
           0    -7.51637
           0    -7.51721
           0    -7.51801
           0    -7.51909
           0    -7.51979
           0    -7.52109
           0     -7.5217
           0     -7.5229
           0     -7.5234
           0    -7.52449
           0    -7.52522
           0    -7.52588
           0    -7.52715
           0    -7.52739
           0     -7.5279
           0    -7.52868
           0     -7.5294
           0    -7.52943
           0    -7.52972
           0    -7.52964
           0    -7.53015
           0    -7.53028
           0    -7.53036
           0    -7.53136
           0    -7.53101
           0    -7.53092
           0    -7.53079
           0    -7.53092
           0    -7.53068
           0    -7.53103
           0    -7.53036
           0    -7.52995
           0    -7.53047
           0    -7.53028
           0    -7.52972
           0    -7.52911
           0    -7.52845
           0    -7.52774
           0    -7.52633
           0    -7.52617
           0    -7.52531
           0    -7.52441
           0    -7.52281
           0    -7.52181
           0    -7.52045
           0    -7.51937
           0    -7.51792
           0    -7.51579
           0    -7.51491
           0    -7.51368
           0    -7.51306
           0    -7.51208
           0    -7.51075
           0    -7.50971
           0    -7.50833
           0    -7.50659
           0    -7.50516
           0    -7.50436
           0    -7.50289
           0    -7.50109
           0    -7.49927
           0    -7.49745
           0    -7.49594
           0    -7.49475
           0    -7.49324
           0    -7.49141
           0    -7.48991
           0    -7.48842
           0    -7.48662
           0    -7.48516
           0    -7.48339
           0     -7.4823
           0    -7.48155
           0    -7.47954
           0    -7.47821
           0    -7.47692
           0    -7.47567
           0    -7.47478
           0    -7.47329
           0    -7.47184
           0    -7.47077
           0    -7.46976
           0    -7.46848
           0    -7.46693
           0    -7.46641
           0    -7.46531
           0    -7.46557
           0    -7.46493
           0    -7.46436
           0    -7.46418
           0     -7.4644
           0    -7.46437
           0    -7.46376
           0    -7.46323
           0    -7.46277
           0    -7.46207
           0    -7.46209
           0    -7.46315
           0    -7.46268
           0    -7.46292
           0    -7.46292
           0    -7.46298
           0    -7.46312
           0    -7.46366
           0    -7.46426
           0    -7.46494
           0    -7.46535
           0    -7.46582
           0    -7.46701
           0     -7.4676
           0     -7.4689
           0    -7.46993
           0    -7.47101
           0    -7.47246
           0    -7.47299
           0    -7.47388
           0    -7.47481
           0    -7.47514
           0    -7.47647
           0    -7.47783
