Generation  Best distance  Mean distance
1        2087.21        2537.55
2        1909.63        2250.21
3        1820.83        2044.79
4         1747.4        1892.46
5        1686.33        1794.76
6        1617.05        1732.11
7        1501.02        1651.02
8        1443.21        1565.86
9        1378.09         1493.8
10        1307.08        1421.36
11        1266.43        1359.44
12        1221.81        1303.32
13        1187.75        1272.59
14        1115.53         1223.3
15        1062.91        1154.19
16        1035.94        1096.95
17        983.178        1064.84
18        956.579        1025.43
19        929.685        989.091
20        879.591        970.403
21        817.505        939.965
22        817.505        889.741
23         797.87        854.902
24        773.562        823.986
25        763.063        799.644
26        751.265        785.589
27         746.84        779.723
28         737.04          768.2
29         729.76        749.456
30        725.426        741.858
31        707.336        766.039
32        696.084         741.63
33         677.84        719.736
34        646.512        701.842
35        638.628        683.908
36        635.257        664.893
37        614.253        649.828
38        600.598        640.353
39        575.199        626.778
40        557.312        606.777
41        557.312        594.279
42         553.16        586.652
43        549.075        569.499
44        542.618        569.279
45        534.158        564.672
46        525.206        558.642
47        522.431        551.229
48        500.381        541.322
49        498.731        531.258
50        494.118        514.697
51         492.66        506.849
52        488.792        500.721
53        483.317         497.45
54        478.195        501.412
55        475.991        502.975
56        474.787        504.031
57        469.704        515.642
58        463.149        492.724
59        447.821        477.826
60        440.759        463.699
61        383.668         484.52
62        382.699        461.257
63        381.854         462.34
64        369.515        443.553
65        369.515        418.297
66        365.211         412.37
67        364.642        389.781
68        364.366        391.149
69        360.899        387.698
70        360.899        385.176
71        356.731        391.885
72        356.462         368.82
73        353.921        369.923
74        351.848         391.69
75        350.289        386.198
76        347.166        367.648
77        345.945        358.398
78        344.021        359.068
79        337.935        353.551
80        337.935        352.498
81        337.935        345.132
82        327.939        346.858
83        327.361        345.245
84        324.526        344.842
85        324.526         346.58
86        320.671         342.63
87        319.962        340.534
88        319.067        339.913
89        318.679        328.873
90        313.075         328.77
91        242.754        340.287
92        242.754          317.4
93        242.754        300.845
94        242.754        294.186
95        241.143         272.89
96        238.896        251.102
97        238.896        256.076
98        236.085        265.228
99        236.085        253.194
100        236.085        253.114
101        236.085        252.949
102        234.005        250.762
103        233.241        242.548
104        233.209        240.372
105        232.444        249.959
106         231.27        251.891
107        230.019        255.218
108        227.482        252.261
109         225.65        259.424
110        224.741        243.234
111        219.721        236.601
112        219.721        230.805
113         215.37         230.96
114         212.05        225.203
115         211.93        219.223
116         208.84        216.095
117        206.305        213.388
118        205.258        213.838
119        205.258        210.238
120        203.465        214.462
121         204.23        240.868
122        203.025        222.361
123        203.025        207.942
124        203.025        207.169
125         201.89        210.022
126        200.835        205.113
127        200.835        206.371
128        200.082        210.384
129        199.777        205.298
130        195.968        203.811
131        195.663        199.314
132        193.448        198.013
133        191.918        213.471
134        191.918         219.42
135        190.422        222.175
136        190.117        213.365
137        186.347        203.709
138        185.784        193.906
139        184.608        190.189
140        183.458        189.861
141         177.92        187.051
142         177.92        185.015
