#   STEP:  TEMPERATURE:
           0    -8.49785
           0    -8.40552
           0    -8.25266
           0    -8.13617
           0    -8.02455
           0    -7.94286
           0    -7.95152
           0    -7.91592
           0    -7.88031
           0    -7.86257
           0    -7.78663
           0    -7.75898
           0    -7.73432
           0    -7.69318
           0    -7.70036
           0    -7.73596
           0    -7.68928
           0    -7.71805
           0    -7.72083
           0    -7.72098
           0    -7.73244
           0    -7.69054
           0    -7.73356
           0    -7.72525
           0    -7.67203
           0    -7.73406
           0     -7.6499
           0    -7.65833
           0    -7.65318
           0     -7.6528
           0    -7.52043
           0    -7.58403
           0    -7.60295
           0    -7.58985
           0    -7.60033
           0    -7.66813
           0    -7.70869
           0     -7.6636
           0     -7.6025
           0    -7.61372
           0    -7.55892
           0    -7.66908
           0    -7.68027
           0    -7.65115
           0    -7.60389
           0    -7.60282
           0    -7.56837
           0    -7.52318
           0    -7.55428
           0    -7.53778
           0    -7.57782
           0    -7.55671
           0    -7.49714
           0    -7.43784
           0    -7.41655
           0    -7.37077
           0    -7.39653
           0    -7.35305
           0    -7.43596
           0    -7.38376
           0     -7.3736
           0     -7.3656
           0    -7.45206
           0    -7.47469
           0    -7.47658
           0    -7.46289
           0    -7.49226
           0    -7.50395
           0    -7.49005
           0    -7.54834
           0    -7.53515
           0    -7.48663
           0    -7.45342
           0    -7.38123
           0    -7.53037
           0    -7.53988
           0    -7.59128
           0    -7.56125
           0    -7.54484
           0    -7.52409
           0    -7.50374
           0    -7.42002
           0    -7.48954
           0    -7.49253
           0    -7.39773
           0    -7.40433
           0    -7.41545
           0     -7.3895
           0    -7.42756
           0     -7.4306
           0    -7.46538
           0    -7.46272
           0      -7.448
           0    -7.45253
           0    -7.42872
           0    -7.44622
           0    -7.35658
           0    -7.37443
           0    -7.38445
           0    -7.41811
           0    -7.48014
           0    -7.44823
           0    -7.50895
           0    -7.50491
           0    -7.52854
           0    -7.55893
           0     -7.4971
           0    -7.51055
           0    -7.59924
           0    -7.57586
           0    -7.64341
           0    -7.59704
           0    -7.48277
           0    -7.46236
           0    -7.40279
           0    -7.40041
           0    -7.31456
           0    -7.41018
           0     -7.4562
           0    -7.47467
           0    -7.46811
           0    -7.47998
           0    -7.46998
           0    -7.47898
           0    -7.39574
           0     -7.3077
           0    -7.40687
           0    -7.39372
           0    -7.43408
           0    -7.49327
           0    -7.46723
           0    -7.53544
           0     -7.5109
           0    -7.51938
           0    -7.55411
           0    -7.51397
           0    -7.49395
           0    -7.46052
           0    -7.46917
           0    -7.28037
           0    -7.33927
           0     -7.4366
           0    -7.42601
           0    -7.37925
           0    -7.42762
           0    -7.40966
           0     -7.4618
           0    -7.44072
           0    -7.38004
           0     -7.3375
           0    -7.39075
           0    -7.39965
           0    -7.43218
           0     -7.4469
           0    -7.44536
           0    -7.41928
           0    -7.45155
           0    -7.50802
           0    -7.51169
           0    -7.54799
           0    -7.49136
           0    -7.55783
           0    -7.45692
           0    -7.40816
           0    -7.39646
           0    -7.39031
           0    -7.46205
           0    -7.45877
           0    -7.48741
           0    -7.46381
           0    -7.42469
           0    -7.43526
           0    -7.42995
           0    -7.49012
           0    -7.42458
           0    -7.39276
           0    -7.36417
           0    -7.43443
           0    -7.36586
           0    -7.44166
           0    -7.48627
           0    -7.50475
           0    -7.50693
           0    -7.46674
           0    -7.47408
           0    -7.43992
           0    -7.51333
           0    -7.47213
